Site,LAT_GAGE,LNG_GAGE,Max_Jan_Resid,Max_Feb_Resid,Max_Mar_Resid,Max_Apr_Resid,Max_May_Resid,Max_Jun_Resid,Max_Jul_Resid,Max_Aug_Resid,Max_Sep_Resid,Max_Oct_resid,Max_Nov_Resid,Max_Dec_Resid
sm13,45.476787,-122.498424,0.247371899,0.047493698,0.171553612,0.741225979,0.565596418,0.522870123,-0.382661601,-0.542756931,-0.857989839,-0.923208909,0.292827705,0.425371838
sm14,45.470952,-121.865357,0.773408296,0.863614596,0.18853535,-1.594887511,-3.993493582,-5.9915568,-7.628173219,-7.910497916,-6.620154765,-4.065087407,-2.171986831,-0.146696534
sm17,45.48011889,-122.0256385,-0.648697653,-0.726870269,-1.325493566,-1.396010098,-0.479154112,-0.467496789,-0.267830741,-0.176698298,-0.544957416,-1.493826579,-0.994460375,-0.52490612
sm26,43.431227,-123.586757,1.710850433,1.578058429,1.529768258,1.310808319,0.699998227,0.655604216,0.274808587,-0.249190556,-0.968883941,-1.302689563,0.280930287,1.443220919
sm30,48.83261,-122.33905,-0.837176479,-0.990078602,-1.457758326,-0.833954943,0.222816193,-0.759727119,-1.152131656,-1.19161599,-2.142184109,-1.021397396,-0.665872712,-0.761609219
sm35,43.45215258,-110.7040913,-2.010573865,-2.555532786,-3.378792329,-4.393714745,-4.795161603,-4.827617732,-5.724464562,-5.919208662,-5.423525487,-4.746248003,-4.013631852,-2.494871923
sm36,47.947326,-121.626783,-0.443486204,-0.851935369,-1.479475927,-1.752022319,-1.005638294,-0.820501926,0.00978636,0.002451572,0.026296863,-1.057224606,-0.805501525,-0.671039264
sm42,45.44456402,-122.1095292,-0.448868036,-0.603542307,-1.643810159,-1.387101152,0.006976361,0.030947656,-0.378895518,-0.93756154,-1.416390985,-1.176254998,-0.540462304,-0.133294717
sm50,47.68926929,-121.7134457,0.067395183,-0.294769998,-0.541876398,-0.106268617,0.049177174,-0.703986614,-1.01814463,-1.100615862,-0.160724122,1.222334116,0.727771644,0.629151665
sm58,48.6715,-122.1396,-0.441566046,-0.702720094,-0.571997717,-0.973833438,-0.431884014,0.492539675,0.644151159,0.63785606,0.254959008,-0.741690303,-0.577365522,-0.83546566
sm60,45.41539777,-122.1714746,-0.683083197,-0.737580154,-1.644514878,-1.863384971,-0.634501413,-0.277075724,-0.479721871,-0.526862647,-0.7640161,-1.384151232,-0.261595587,-0.233444259
sm62,44.20957081,-122.256733,-0.056371195,-0.562667341,-1.17041164,-1.482915564,-1.614166923,-0.954662813,0.303062598,0.017802399,0.3936073,-0.475011978,-0.324164404,-0.179209982
sm64,44.6529,-122.130908,-0.748669046,-0.944746835,-1.45695285,-1.270423301,-0.554886381,-0.368386914,0.081047345,0.260403296,0.269591819,-0.905017396,-0.942492384,-0.909457119
sm66,45.4776202,-122.5078686,0.400788848,0.106160826,0.525825878,1.713812481,2.492276001,2.977349273,2.069994269,1.884866963,0.932982874,-0.416438417,0.354156802,0.575673217
sm71,47.476667,-116.221667,-0.716895738,-0.207157048,-1.107694445,-1.235698772,-0.579719318,0.51876,0.008927364,-0.14565249,-0.025097694,-0.017362556,-0.59084359,-0.521653245
