Site,LAT_GAGE,LNG_GAGE,Slope_Jan_Resid,Slope_Feb_Resid,Slope_Mar_Resid,Slope_Apr_Resid,Slope_May_Resid,Slope_Jun_Resid,Slope_Jul_Resid,Slope_Aug_Resid,Slope_Sep_Resid,Slope_Oct_resid,Slope_Nov_Resid,Slope_Dec_Resid
sm1,42.354541,-71.268112,-0.013124445,-0.005025792,-0.024731754,-0.041554671,-0.089761387,-0.101621092,-0.204837774,-0.190083533,-0.135159627,-0.12189145,-0.041852809,-0.029244997
sm4,38.95978,-77.17567,0.072850277,0.076322729,0.060685896,0.00942107,0.008409007,0.040429228,0.023791565,0.018903747,0.00850383,0.039030327,0.016051408,0.061553616
sm7,39.496497,-76.34746,0.052677049,0.084970242,0.058153879,0.052933056,0.013902426,0.04474348,0.038932581,0.037023853,0.102606051,0.069243889,0.054387373,0.073538286
sm8,38.908889,-77.338263,0.051849246,0.053415734,0.039940158,-0.00925101,-0.021345531,0.011627485,-0.033477566,-0.030004673,-0.005591092,0.00828118,0.01020858,0.030716231
sm10,39.330083,-76.534889,0.024543028,-0.009378225,-0.032716261,-0.032526548,-0.052302955,-0.023034647,-0.043743344,-0.040120998,-0.003845063,0.008058562,0.01841154,0.025054968
sm11,38.88239,-77.431905,0.061656075,0.04007557,0.021852915,-0.059182315,0.042081907,0.026651716,0.072561386,0.049464824,0.041842524,0.069371063,0.032792709,0.031123906
sm12,40.027326,-75.844945,-0.05100784,-0.093053024,-0.071566187,-0.068881817,-0.04271222,-0.177777204,-0.379061667,-0.129364929,-0.140618061,-0.114509781,-0.055009888,-0.029399346
sm37,39.033139,-76.964278,0.032879431,0.064248044,0.085301978,0.032622296,0.031288484,0.035956265,0.002830876,0.032395792,0.032573308,0.033143395,0.047659946,0.060994316
sm53,42.03731639,-72.9389911,-0.055358763,-0.06390864,-0.017059019,0.078650568,0.042849068,0.071579585,0.117230649,0.060496049,0.064314193,0.039371431,0.044817427,-0.033001414
sm61,38.81289066,-77.22831581,0.057940718,0.056885783,0.090538525,0.04031184,0.072021911,0.073793442,0.080152741,0.070956844,0.048710067,0.07473251,0.047579568,0.077334766
