"","test_R2","train_R2","oob_R2","test_rmse","train_rmse","oob_rmse","test_nrmse","train_nrmse","oob_nrmse","test_R2_sd","train_R2_sd","oob_R2_sd","test_rmse_sd","train_rmse_sd","oob_rmse_sd","test_nrmse_sd","train_nrmse_sd","oob_nrmse_sd"
"1",0.539164868271762,0.741379860759572,0.523669646267828,0.0960312906378574,0.0745081867344351,0.0945580585081907,0.525911258596683,0.401294636643341,0.509284468347187,0.0752016595679725,0.0144189642321636,0.0224394969085119,0.00486329749754287,0.00104177151640673,0.00105874091800391,0.0961676956577391,0.0151479980573359,0.0187954373138311
"2",0.536443408359518,0.727588926551022,0.491417808394062,0.0906078166713673,0.0713129180865422,0.0907339104334429,0.486447740614211,0.374146304723563,0.476057774254465,0.0191092250541642,0.0110270929908075,0.0176815843897553,0.00890442696517329,0.00151861187916862,0.001965293536458,0.115915341551516,0.017186382993349,0.022400341276833
"3",0.48033216591228,0.71863295418896,0.450222184516881,0.104395250183205,0.0817516638049527,0.104367975326846,0.409059440703611,0.317375637638216,0.405180102985198,0.136176923623951,0.0152317475804281,0.0376110464530498,0.00874343654962371,0.00203703987379967,0.00264552625048782,0.0602338719409839,0.0133946478567676,0.0173142889276581
"4",0.328469391722197,0.627581162464803,0.309812170197816,0.110374006082314,0.0868289903770346,0.109708246021253,0.388601261192531,0.302358018426241,0.382007435470675,0.0780998766032081,0.0178477674987561,0.0312100464963706,0.00943091589564845,0.0026012733940495,0.0033008144184599,0.0613739037476205,0.0126262530910542,0.015346062942257
"5",0.474039940378262,0.680472853864737,0.421686635477643,0.125340484737489,0.101967742686838,0.129092682766058,0.358938546585967,0.288396417745178,0.365104055223027,0.0761533186541303,0.00623827930452971,0.0158532847638258,0.0138946001961534,0.0024878545501593,0.00295748798925209,0.0685445257839065,0.012833733977272,0.0156829365058105
"6",0.337090931697808,0.639192254833712,0.319365419342691,0.140463372551032,0.110732455979512,0.140465629280039,0.464988382557401,0.363748647153878,0.461407322889399,0.137376628387479,0.0148037180222967,0.0333782610500272,0.00935086273401337,0.000824897946462405,0.00109081134725461,0.0568967589948458,0.00957067695109491,0.011562215671217
"7",0.26572150969266,0.637737221685959,0.273904857723724,0.160190108350423,0.124828269480612,0.158742020487048,0.610910938086252,0.470154749266165,0.59793073809272,0.149817210924404,0.0249465108454844,0.0376758846391841,0.0203288184667297,0.00346688461383789,0.00414941590514499,0.108388154938526,0.0177484962547201,0.0232055136544555
"8",0.383789233697455,0.648899041965266,0.343140109385959,0.157237146108205,0.125617969848812,0.159087567157389,0.618385814551985,0.488652307207739,0.618820255495903,0.173944422082793,0.0203517134304419,0.0448806398584595,0.00623537431080911,0.00143356141652387,0.00198673828106999,0.0812016691626704,0.0168710952172948,0.0205435237218624
"9",0.375381183827704,0.666766061777639,0.365999306829558,0.159601463315012,0.126456842462228,0.159843691802292,0.495886782036858,0.391244701901003,0.494546949208127,0.108723959312915,0.0154333232245674,0.0362118588319067,0.00785373500359718,0.00204770772922244,0.00269840100784524,0.0327961256742667,0.00497850358185086,0.00733025937139673
"10",0.530893556790358,0.711944833271793,0.479515779647719,0.125871815091783,0.102193813002019,0.129348545704565,0.350391643421802,0.282190847576108,0.357172514262554,0.106804754793027,0.012352656795111,0.0294235143184919,0.0139368540566516,0.00270503954910534,0.0035634684702256,0.0570481012953286,0.0100295136312473,0.0129341857953838
"11",0.381351238590611,0.689168237290307,0.366391564650058,0.114100946141787,0.0885944659619102,0.112697483696666,0.34694330901912,0.265789847414558,0.338100228581736,0.143130250483886,0.0145712711085435,0.0335663089882892,0.00988822880272422,0.00169513496969586,0.00210079129590034,0.067011910700981,0.0111827380220891,0.0141633350854064
"12",0.500234098426043,0.715751126014352,0.459827590745361,0.101006624923695,0.0793289048693538,0.100882012155733,0.49151916001947,0.380333570434808,0.483695861819601,0.0937269657005268,0.0173941692842048,0.0331572557370877,0.00685812311929011,0.00218780586572784,0.00267025590684299,0.0818630699960065,0.0144552895379483,0.0188992582392722
