"","test_R2","train_R2","oob_R2","test_rmse","train_rmse","oob_rmse","test_nrmse","train_nrmse","oob_nrmse"
"1",0.453728806652291,0.759826171085145,0.546780328119202,0.0939873142615158,0.0735607444994538,0.0941371861185723,0.482857919139611,0.400770995638217,0.512874822896886
"2",0.534899369138027,0.745357369469537,0.517591656741028,0.0857436992642652,0.0702908876428121,0.0897887000363854,0.435030692410174,0.371559093412511,0.474624935080312
"3",0.38924310293532,0.737875355890767,0.499574175288646,0.103276915200548,0.0799302871567819,0.101653673800186,0.409207631971061,0.308429970776448,0.392254810470171
"4",0.204690194101032,0.653358199319675,0.354750672002517,0.123068367007176,0.0828352372680966,0.105009178740729,0.44707988653127,0.285178808604829,0.361517555493092
"5",0.448664758444778,0.689236071759357,0.438180702074055,0.126195184250592,0.100682534378494,0.127537024380365,0.379095626272811,0.280251569326747,0.35500150498293
"6",0.306554451629396,0.653782814896019,0.345930265193076,0.131478538800127,0.110482183363865,0.140502911682885,0.447906912762866,0.359376655424338,0.4570281373937
"7",0.189122516217373,0.63995271680453,0.289829959006471,0.153828785616265,0.125229127102534,0.159628668092886,0.650974228129938,0.45829540024735,0.584185852183429
"8",0.41445880586566,0.658674448642493,0.356888884490159,0.151058625842232,0.1249857483931,0.15850123168058,0.597292240072611,0.483719551144052,0.613431096185222
"9",0.364481988414964,0.671616688275749,0.374262461598037,0.155109669927945,0.127075372135686,0.160394781073556,0.518122905565478,0.385731953251186,0.486871619220895
"10",0.516504392689603,0.712906542123636,0.484185746248167,0.11967812073501,0.102797023858579,0.130317339144223,0.333824258766931,0.283001093413,0.358764758785478
"11",0.299499935646999,0.707136788500471,0.410894938392894,0.105583514398214,0.0884407840016867,0.112296729621615,0.316032494432361,0.265222733346944,0.336763699150377
"12",0.348253038156383,0.742754424416413,0.512354823595299,0.108311841693817,0.0758499745554432,0.0968182343038348,0.489746432879392,0.369105862665492,0.471142912096101
