"site","begin_date","end_date","n_days"
"'02394000",2005-01-27,2022-04-13,3410
"'02397000",1986-02-13,2022-04-14,12526
"'02405500",2008-07-12,2022-04-13,4096
"'02407514",2008-07-12,2022-04-13,4374
"'02413210",2000-02-01,2022-04-14,1644
"'02423130",1988-09-08,2022-04-06,10528
"'02423380",1987-08-07,2022-04-13,5635
"'02423397",1995-06-16,2022-04-13,9040
"'02423496",1988-11-23,2022-04-13,11928
"'02450250",2012-04-13,2022-04-13,3646
"'02455980",1989-01-05,2022-04-13,11917
"'02457595",1988-09-28,2022-04-13,11907
"'02458450",1991-05-14,2022-04-13,11151
"'02474560",2011-03-30,2022-04-13,3758
"'02479155",1985-10-25,2022-04-13,3817
"'03007800",2010-11-19,2022-04-12,4106
"'03011020",2011-09-23,2022-04-13,3763
"'03012550",2007-09-30,2022-04-13,5269
"'03017500",2012-08-21,2022-04-13,3050
"'03020000",2007-10-01,2022-04-13,5184
"'03022540",2013-08-09,2022-04-13,3055
"'03022554",2007-09-30,2022-04-13,5246
"'03027500",2007-10-01,2022-04-13,5054
"'03028000",2011-09-30,2022-04-13,3837
"'03028500",2013-10-01,2022-04-13,2999
"'03034000",2010-12-17,2022-04-13,3954
"'03034500",2013-04-05,2022-04-13,3038
"'03036000",2008-10-01,2022-04-13,4725
"'03038000",2013-09-29,2022-04-13,3115
"'03039000",2008-12-19,2022-04-13,4717
"'03041500",2013-09-29,2022-04-13,2905
"'03042000",2013-09-29,2022-04-13,3006
"'03044000",2011-12-27,2022-04-13,3732
"'03047000",2007-08-03,2022-04-13,5111
"'03054500",2011-10-01,2020-10-28,3259
"'03056000",2010-09-30,2020-11-08,3617
"'03057000",2008-09-30,2020-10-28,4148
"'03058000",1999-05-28,2020-10-19,4935
"'03061000",1998-09-30,2020-11-29,4995
"'03066000",2013-04-03,2020-10-13,2720
"'03067510",2009-09-30,2020-12-15,4016
"'03069500",2011-09-30,2020-11-17,1777
"'03072655",2013-09-27,2022-04-13,3105
"'03073000",2010-11-05,2022-04-13,4090
"'03075070",2008-10-02,2022-04-13,4782
"'03076500",2012-10-01,2022-04-13,3432
"'03077500",2005-08-17,2022-04-13,5129
"'03079000",2005-06-02,2022-04-13,4830
"'03081000",2004-10-01,2022-04-13,6326
"'03083500",2005-06-02,2022-04-13,5104
"'03086500",2010-11-20,2022-04-13,4084
"'03090500",2009-09-30,2022-04-12,4329
"'03091500",2009-09-30,2022-04-13,4539
"'03092090",2011-09-30,2022-04-13,3806
"'03092460",2009-09-30,2022-04-13,4422
"'03094000",2009-09-30,2022-04-13,4552
"'03095500",2010-11-22,2022-04-13,4140
"'03099500",2010-10-07,2022-04-13,4205
"'03102850",2013-11-13,2022-04-13,2902
"'03102950",2010-11-24,2022-04-13,4090
"'03103500",2007-09-30,2022-04-13,5194
"'03105500",2010-08-05,2022-04-13,4227
"'03106000",2010-11-11,2022-04-13,4052
"'03183500",2007-04-06,2021-02-22,5012
"'03184500",2015-05-07,2020-10-04,1958
"'03185400",1990-07-21,2021-01-07,2163
"'03189100",1980-11-05,2020-09-20,2795
"'03200500",1973-11-13,2020-12-08,3609
"'03219500",1998-06-17,2022-04-13,6268
"'03228300",2000-04-29,2022-04-13,5411
"'03232470",1989-09-30,2022-04-13,2784
"'03287500",2001-06-23,2022-04-13,4728
"'03289200",2015-06-30,2021-07-19,763
"'03292470",2008-09-30,2022-04-13,3300
"'03292474",2007-10-16,2022-04-13,3271
"'03292480",2007-09-30,2022-04-13,3077
"'03292500",1988-05-07,2022-04-13,4080
"'03293000",1988-04-30,2022-04-13,5221
"'03293500",2007-09-30,2022-04-13,3050
"'03293510",2013-09-30,2022-04-13,2809
"'03293530",2007-10-01,2022-04-13,3150
"'03294570",2007-09-30,2022-04-13,2330
"'03297800",2008-09-30,2022-04-13,3171
"'03297900",2009-01-10,2022-04-13,2650
"'03298000",2006-09-30,2022-04-13,3452
"'03298150",2007-09-30,2022-04-13,3395
"'03298250",2008-09-30,2022-04-13,3168
"'03298300",2007-09-30,2022-04-13,3593
"'03301900",2008-09-30,2022-04-13,3862
"'03302030",2007-09-30,2022-04-13,3361
"'03306000",1988-10-01,2022-04-13,6627
"'03306500",1999-12-22,2022-04-13,5673
"'03307000",1999-12-22,2022-04-13,5522
"'03313000",1990-01-09,2022-04-13,6325
"'03323500",2002-09-30,2022-04-13,6640
"'03324500",2002-09-30,2022-04-13,6166
"'03327000",2002-09-30,2022-04-13,5646
"'03339000",2014-12-13,2021-10-04,1814
"'03346500",2015-09-11,2021-10-18,2093
"'03353200",2010-09-22,2022-04-13,4146
"'03353611",1992-10-14,2022-04-13,9241
"'03354000",1975-08-25,2022-04-13,13068
"'03359000",1993-05-13,2022-04-13,7580
"'03372500",2002-09-30,2022-04-13,5776
"'03373980",2000-10-01,2022-04-13,7722
"'03374500",2002-09-30,2022-04-13,6721
"'03400800",1986-10-01,2022-04-13,5966
"'03446000",2012-08-04,2022-04-14,3541
"'03451500",2013-09-14,2022-04-14,3103
"'03456991",2012-08-01,2022-04-14,3539
"'03460000",1984-10-01,2022-04-14,4437
"'03460795",1997-05-06,2021-09-30,3357
"'03497300",1976-10-01,2022-04-13,5142
"'03512000",2014-10-03,2022-04-14,2734
"'0351706800",1999-10-01,2022-04-14,8215
"'03524000",2007-03-14,2020-12-14,4930
"'03544970",2011-09-29,2020-09-30,3242
"'03582000",2012-10-01,2022-04-13,2429
"'03584600",2014-10-10,2021-03-17,1844
"'03604000",1976-10-01,2022-04-13,3403
"'04024000",1980-10-20,2022-04-14,4571
"'04027000",1975-09-26,2022-04-13,4145
"'04040000",1975-10-16,2022-04-14,2895
"'04041500",1998-04-08,2022-04-14,4896
"'04043238",2004-12-02,2022-04-14,6208
"'04043244",2005-12-03,2022-04-14,5896
"'04059000",1975-10-16,2022-04-14,6393
"'04059500",2011-04-26,2022-04-14,2545
"'04063700",2002-06-28,2022-04-13,4456
"'04067500",2011-03-11,2022-04-13,3902
"'04069500",2011-09-30,2022-04-12,2200
"'04071765",2012-02-23,2022-04-13,1942
"'04077630",2004-03-24,2022-04-13,6543
"'04082400",1992-04-01,2022-04-13,3825
"'04084445",1986-10-08,2022-04-13,4453
"'040851385",2011-03-04,2022-04-13,3805
"'04085427",2011-03-18,2022-04-13,2457
"'04087088",2010-02-12,2021-08-10,2799
"'04101500",1980-10-09,2022-04-13,5134
"'04121944",1995-10-14,2022-04-13,9418
"'04121970",1995-01-10,2022-04-13,9853
"'04124000",1996-10-01,2022-04-13,9147
"'04124200",1996-12-01,2022-04-13,9132
"'04125460",1996-12-01,2022-04-13,9128
"'04125550",1996-10-01,2022-04-13,9170
"'04136000",1996-07-12,2022-04-13,9301
"'04136500",1996-07-11,2022-04-13,9322
"'04136900",1996-10-01,2022-04-13,9032
"'04137005",1996-10-01,2022-04-13,9169
"'04137500",1996-07-12,2022-04-13,9349
"'04142000",2011-06-08,2022-04-13,3693
"'04161820",1996-06-06,2022-04-13,1227
"'04165500",2011-07-15,2022-04-13,3826
"'04166500",1999-04-16,2022-04-13,5901
"'04176500",2011-03-31,2022-04-13,3984
"'04188496",2014-08-08,2022-04-08,2514
"'04195500",2011-04-22,2022-04-13,1055
"'04199500",2011-06-22,2022-04-13,3485
"'04200500",2011-06-22,2022-04-13,3713
"'04208000",1981-06-05,2022-04-13,7182
"'04213500",2011-06-01,2022-04-13,3930
"'0422026250",1995-09-30,2022-04-13,9185
"'04231600",2010-12-15,2022-04-13,4069
"'04232050",1994-11-10,2022-04-13,9133
"'0423205010",1994-11-10,2022-04-13,9040
"'04249000",1980-10-25,2022-04-13,4427
"'05014300",2012-04-13,2022-01-25,2024
"'05054000",1998-09-26,2022-04-13,8160
"'05055300",2004-10-21,2022-04-13,5416
"'05055400",2005-04-09,2022-04-13,3637
"'05057000",1997-06-12,2022-04-13,8329
"'05058000",1997-04-16,2022-04-13,8627
"'05124480",1977-10-01,2022-04-14,4260
"'05288705",2015-11-10,2022-04-13,2323
"'05289800",2010-10-01,2022-04-13,3511
"'05331833",1996-06-01,2022-04-13,7287
"'05333500",1997-04-04,2022-04-13,7083
"'05370000",1978-06-20,2022-04-13,7413
"'05382255",2008-09-25,2022-04-13,2851
"'05382257",2008-09-19,2022-04-13,2887
"'05382267",2008-09-20,2022-04-13,2726
"'05394500",1998-09-30,2020-07-22,2713
"'05412500",2012-05-30,2020-06-10,1647
"'05435943",1996-11-01,2022-04-13,9162
"'05440700",2012-07-04,2022-04-13,3269
"'05446500",2015-06-26,2020-12-17,1429
"'05447500",2015-06-26,2021-10-19,1668
"'05458300",2011-10-01,2022-04-14,3565
"'05481000",2011-11-22,2022-04-13,3292
"'05482000",2013-09-19,2022-04-13,2999
"'05482300",2012-03-13,2022-04-14,3449
"'05482500",2012-03-13,2022-04-14,3293
"'05484500",2012-03-14,2022-04-14,3574
"'05515500",2013-12-05,2022-04-13,2980
"'05518000",2015-12-05,2020-08-16,1655
"'05527500",1973-05-31,2022-04-13,4023
"'05595000",2015-09-22,2021-10-05,2159
"'06023100",2008-07-11,2021-09-30,1428
"'06024450",1988-05-01,2022-04-13,6781
"'06025250",2014-07-01,2022-04-13,1041
"'06025500",1995-10-01,2022-04-13,7364
"'06026210",2014-07-01,2021-09-30,794
"'06026420",2007-07-20,2022-04-07,2424
"'06026500",1994-10-01,2022-04-13,1902
"'06035000",2002-04-24,2022-04-13,3511
"'06036650",1999-10-01,2022-04-13,2529
"'06036805",2006-10-01,2022-04-13,5630
"'06036905",2002-10-01,2022-04-13,7118
"'06037500",1983-07-22,2022-04-13,3803
"'06038500",2009-06-26,2022-04-13,4642
"'06038800",1995-04-12,2022-04-13,7702
"'06041000",1977-06-21,2022-04-13,15851
"'06052500",1979-08-25,2021-09-30,6300
"'06054500",1977-07-06,2022-04-13,15699
"'06066500",1999-10-01,2022-04-13,8170
"'06073500",1993-11-04,2022-04-13,6972
"'06077200",1996-11-05,2022-04-13,6421
"'06085800",2006-07-07,2022-04-13,4829
"'06089000",1999-08-25,2022-03-02,4076
"'06102050",2014-05-14,2022-04-13,1343
"'06188000",2014-05-01,2022-04-13,2754
"'06190540",1988-10-01,2022-04-13,6964
"'06191500",2001-05-04,2022-04-13,2689
"'06192500",1999-11-24,2022-04-13,4069
"'06204070",2010-04-01,2022-04-13,4349
"'06205000",2001-05-17,2022-04-13,1916
"'06214500",2001-05-15,2022-04-13,1546
"'06324970",2012-03-31,2021-10-26,3214
"'06331000",2015-02-05,2022-04-13,2388
"'06336000",2013-04-06,2022-04-08,591
"'06454100",2014-02-19,2020-11-03,700
"'06461500",2014-03-26,2022-04-13,1024
"'06465500",2010-10-11,2022-04-13,2957
"'06470500",1982-10-01,2020-08-10,3716
"'06623800",2012-05-23,2022-04-13,3580
"'06670500",2015-03-27,2021-11-15,644
"'06711565",1995-10-01,2022-04-14,9061
"'06786000",2015-09-24,2020-09-14,1278
"'06800500",2002-09-30,2022-04-13,3349
"'06805000",2007-08-29,2021-10-13,2956
"'06817000",2012-09-13,2022-04-14,2986
"'06879650",2012-01-26,2022-04-13,1554
"'06891260",2010-10-15,2022-04-13,632
"'06893620",2011-12-20,2022-04-13,3717
"'06893890",2009-12-01,2020-06-09,3793
"'06894000",2005-09-30,2022-04-13,5957
"'07014000",2010-11-10,2022-04-13,3981
"'07048550",2014-10-11,2022-04-13,2602
"'07060500",1991-05-15,2022-04-11,9807
"'07061270",2006-01-23,2022-04-13,5699
"'07061290",2008-11-17,2022-04-13,4867
"'07076000",1991-05-03,2022-04-13,7167
"'07086000",1993-10-07,2022-04-13,9997
"'07096000",1993-10-23,2022-04-14,10076
"'07097000",1994-10-01,2022-04-14,9856
"'07099400",2008-09-30,2022-04-14,4878
"'07106000",1994-10-01,2022-04-14,9088
"'07106500",1989-10-01,2022-04-14,11440
"'07109500",1990-10-01,2022-04-14,11118
"'07119700",1990-05-11,2022-04-14,11313
"'07160350",2012-02-01,2022-04-13,3630
"'07177500",1999-09-30,2022-04-13,8082
"'07178200",2000-09-30,2022-04-13,7280
"'07182250",2015-04-22,2021-06-29,2131
"'071912213",2004-11-16,2022-04-13,6298
"'07191222",2005-03-08,2022-04-13,5768
"'07198000",1996-09-30,2022-04-13,4820
"'07227500",1995-09-13,2022-04-13,8183
"'07239450",1996-09-30,2022-04-13,7882
"'07239500",1996-09-30,2021-02-08,6260
"'07239700",2001-09-30,2022-04-13,6454
"'07241000",1996-09-30,2022-04-13,6863
"'07241520",1996-09-30,2022-04-13,7324
"'07241550",1996-09-30,2022-04-13,7103
"'07263296",2007-09-30,2022-04-13,5237
"'07281600",2009-09-03,2021-06-27,2636
"'07288280",2007-09-25,2022-04-13,3066
"'07288500",2008-10-04,2022-04-13,4017
"'07311782",1994-10-01,2022-04-13,9495
"'07311800",1997-09-30,2022-04-13,5552
"'07312500",1998-09-30,2022-04-13,7335
"'07335700",2012-02-23,2022-04-13,3473
"'07364133",2005-02-19,2020-06-18,2612
"'08048000",2010-09-21,2022-04-13,3942
"'08049500",1976-10-01,2022-04-13,14754
"'08052700",2010-04-06,2022-04-13,3977
"'08052745",2010-04-06,2022-02-09,4133
"'08057000",2014-10-31,2022-04-13,1887
"'08057410",2015-02-12,2022-04-13,1639
"'08062500",1976-10-01,2022-04-13,14636
"'08065350",1975-03-11,2022-04-13,15766
"'08068000",2014-02-06,2022-04-13,2952
"'08068500",1999-12-10,2022-04-13,7637
"'08070200",1995-10-01,2022-04-13,7698
"'08086212",1982-03-30,2022-04-13,9609
"'08086290",1982-03-31,2022-04-13,8410
"'08123850",1980-10-01,2022-04-13,12332
"'08126380",2001-02-09,2022-04-13,7016
"'08181500",1987-10-01,2022-04-13,10828
"'08181800",1987-07-13,2022-04-13,12215
"'08227000",2012-04-07,2022-04-14,2130
"'08317400",1971-07-15,2022-04-10,10331
"'08329918",2005-02-12,2020-05-12,3821
"'08377900",2011-11-17,2022-04-13,3694
"'09032000",2014-08-01,2021-09-30,1131
"'09033300",2007-06-07,2021-09-30,2296
"'09034250",2007-09-30,2021-09-30,648
"'09041090",1990-04-08,2022-04-14,6283
"'09066510",1996-10-01,2021-10-31,3986
"'09070500",1980-02-15,2022-04-14,2398
"'09085000",1980-01-18,2022-04-14,6297
"'09119000",2013-05-01,2021-10-31,1642
"'09144250",2009-07-02,2022-04-14,4645
"'09149500",2009-07-02,2022-04-14,4649
"'09163500",1992-07-09,2022-04-14,10591
"'09171100",1992-10-01,2022-04-14,10502
"'09180000",2006-07-19,2022-04-13,5656
"'09183600",2014-06-20,2022-04-13,2833
"'09196500",1989-03-29,2022-04-14,5920
"'09205000",2015-03-11,2020-10-08,1982
"'09217000",1989-10-01,2022-04-13,3349
"'09234500",1986-12-12,2022-04-14,10705
"'09239500",2002-07-26,2022-04-14,2470
"'09258980",2005-05-27,2022-04-13,3850
"'09302000",1998-08-25,2022-04-14,8139
"'09304200",1978-07-14,2021-09-30,4112
"'09314500",2000-11-17,2022-04-13,6893
"'09326500",2014-05-02,2020-07-13,654
"'09328500",2015-12-04,2022-04-13,2162
"'09352900",2012-04-01,2022-04-14,2635
"'09355500",2014-03-05,2022-04-13,2943
"'09359020",2001-09-30,2022-04-14,1735
"'09364500",2014-03-06,2022-03-02,2384
"'09365000",2014-03-06,2022-04-13,2767
"'09368000",1989-10-01,2022-04-13,3095
"'09371010",2014-03-11,2022-04-13,2705
"'09406000",2004-10-09,2022-04-13,6167
"'09505800",2012-03-08,2022-04-13,3084
"'10126000",1981-10-01,2022-04-13,927
"'10129900",2001-10-16,2022-04-14,7447
"'10133650",2010-05-18,2022-04-14,4343
"'10133800",2001-10-18,2022-04-14,7443
"'10133980",2007-07-12,2022-04-14,5379
"'10172200",1998-10-22,2022-04-14,5115
"'10249300",1978-09-08,2022-04-13,4986
"'10261500",1975-06-04,2022-04-13,3389
"'10265150",1983-07-07,2022-04-13,6672
"'10301500",1995-05-27,2022-04-13,9349
"'10336610",1997-09-18,2022-04-13,4694
"'10336780",1997-09-17,2022-04-13,4505
"'10348200",1980-02-05,2022-04-13,10313
"'10351600",1988-06-17,2022-04-13,9050
"'10351700",1980-05-17,2022-04-13,11420
"'10396000",2010-10-14,2022-04-13,4033
"'11126000",1994-07-26,2022-04-13,2144
"'11133000",1998-10-01,2022-04-13,3367
"'11173575",2007-10-01,2022-04-13,2975
"'11176900",2003-11-26,2022-04-13,4403
"'11179000",2005-10-04,2022-04-13,3166
"'11261500",1985-09-19,2022-04-13,8117
"'11274550",1996-01-15,2022-04-13,8261
"'11290000",1971-07-28,2022-04-13,7251
"'11302000",1973-07-27,2022-04-13,2405
"'11303000",1985-07-01,2022-04-13,4565
"'11390500",1988-10-01,2022-04-13,5403
"'11446500",1971-07-20,2022-04-13,2746
"'11467000",2002-01-25,2022-04-13,5015
"'11501000",2005-04-28,2022-04-13,6184
"'11502500",2007-10-17,2022-04-13,5021
"'11507500",2003-09-30,2022-04-13,6691
"'11509500",2005-12-21,2022-04-13,5830
"'11523000",1969-04-06,2022-04-13,1974
"'12056500",1989-09-30,2022-04-13,8236
"'12115000",1997-09-30,2022-04-13,8391
"'12116500",1999-03-19,2022-04-13,8202
"'12117600",2001-05-05,2022-04-13,7612
"'12119000",1992-02-23,2022-04-13,9949
"'12137290",2009-09-30,2022-04-06,4463
"'12137800",1993-09-30,2022-04-13,4671
"'12138160",1995-08-10,2022-04-13,8412
"'12147500",1995-02-23,2022-04-13,9103
"'12147600",1994-10-28,2022-04-13,9450
"'12148000",1994-10-01,2022-04-13,9958
"'12148300",1994-09-30,2022-04-13,9654
"'12205000",2007-11-28,2022-04-13,5126
"'12209490",2008-04-17,2022-04-13,4756
"'12210000",2008-09-30,2022-04-13,4547
"'12210700",1996-03-08,2022-04-13,5818
"'12210900",2008-05-01,2022-04-13,4813
"'12213100",2007-12-01,2022-04-13,5213
"'12323770",2000-07-07,2022-04-13,7752
"'12323800",1991-10-04,2022-04-13,3890
"'12324200",1978-09-14,2022-04-13,4800
"'12334510",1995-04-14,2022-04-13,6884
"'12340000",1999-09-15,2022-04-13,7303
"'12344000",2001-04-01,2022-04-13,3812
"'12352500",1999-11-10,2021-09-30,4665
"'12362500",1999-02-11,2022-04-13,8160
"'12388700",1999-07-21,2022-04-13,4671
"'12413370",1999-10-01,2021-10-26,7294
"'12447390",2011-09-01,2022-04-13,3664
"'12448000",2002-04-17,2021-08-26,238
"'12500450",1981-03-21,2022-02-28,1877
"'13013650",2002-04-06,2022-04-13,4104
"'13016450",2010-04-29,2022-04-13,4199
"'13018300",2012-05-03,2022-04-13,3580
"'13018350",2009-12-10,2022-04-14,4343
"'13092747",1993-04-07,2022-04-13,4527
"'13150430",1998-04-09,2022-04-13,5588
"'13185000",1997-08-02,2021-08-17,361
"'13331500",1978-07-28,2022-04-13,6331
"'13340000",1993-10-01,2022-04-13,8107
"'13340600",1999-10-01,2022-04-13,7978
"'13341050",2002-10-01,2022-04-13,6984
"'13342500",1999-10-01,2022-04-13,8110
"'14034470",2009-06-17,2022-04-13,4418
"'14034500",2009-06-10,2022-04-13,4534
"'14046778",2006-08-18,2022-04-13,4559
"'14046890",2004-01-17,2022-04-13,6595
"'14076500",2005-11-03,2022-04-13,6003
"'14087400",2005-11-02,2022-04-13,5937
"'14091500",2005-11-03,2022-04-13,6002
"'14092500",1986-10-01,2022-04-13,6655
"'14103000",2011-07-29,2022-04-13,3904
"'14138720",1995-09-30,2022-04-13,9601
"'14138850",1977-10-21,2022-04-13,15600
"'14138870",1977-10-27,2022-04-13,15832
"'14138900",1978-10-04,2022-04-13,15516
"'14139800",1978-10-06,2022-04-13,15633
"'14141500",2006-05-26,2022-04-13,5752
"'14144800",1978-07-18,2022-04-13,6670
"'14144900",1978-08-04,2022-04-13,5055
"'14145500",1978-07-19,2022-04-13,11336
"'14147500",2010-05-27,2022-04-13,4312
"'14148000",1985-09-30,2022-04-13,5553
"'14150000",1978-07-21,2022-04-13,13664
"'14150800",1971-08-13,2022-04-13,6827
"'14151000",1985-10-01,2022-04-13,11533
"'14152000",1985-10-02,2022-04-13,8035
"'14152500",1985-10-01,2022-04-13,1660
"'14153500",2001-08-03,2022-04-13,7451
"'14154500",2009-08-07,2022-04-13,4423
"'14155500",2001-08-02,2022-04-13,7538
