Site,HUC02,Strat_Group
lg126,14,G6
lg127,18,G6
lg128,4,G3
lg129,17,G7
lg131,9,G3
lg133,5,G4
lg134,17,G7
lg135,14,G6
lg137,11,G5
lg138,17,G7
lg139,4,G3
lg140,7,G3
lg141,7,G3
lg143,5,G4
lg144,17,G7
lg145,14,G6
lg148,11,G5
lg150,4,G3
lg151,9,G3
lg152,3,G2
lg153,18,G6
lg154,14,G6
lg155,7,G3
lg156,17,G7
lg157,17,G7
lg158,17,G7
lg159,18,G6
lg160,17,G7
lg161,17,G7
lg164,17,G7
lg165,2,G1
lg166,18,G6
lg167,11,G5
lg168,11,G5
lg169,11,G5
lg170,18,G6
lg171,13,G6
lg172,10U,G5
lg173,14,G6
lg174,12,G5
lg175,10U,G5
lg176,14,G6
