"","test_R2","train_R2","oob_R2","test_rmse","train_rmse","oob_rmse","test_nrmse","train_nrmse","oob_nrmse"
"1",0.814694505122156,0.841313417346618,0.786930138483925,1.46136074132117,1.0768288386515,1.23815332410373,0.223535103834978,0.189804106056017,0.218239497686642
"2",0.76805241565078,0.872116866335031,0.827842309924968,1.8183662959634,1.2611888358102,1.44938585989167,0.233477259580619,0.191594076774337,0.220184113457784
"3",0.745101292076797,0.844815855769367,0.82451507625538,1.94280360823726,1.50282247192218,1.62699370463653,0.185323078687179,0.168557960886121,0.182485121397819
"4",0.635077471253539,0.76623718370648,0.695826959397385,2.16228536814155,1.83719278660693,2.0745593854486,0.141422125181625,0.13511470192081,0.152571616340598
"5",0.259578957747844,0.563613206475236,0.3365303523193,2.68329775668695,2.28112042608813,2.71728184904594,0.13195194377725,0.12109814148881,0.144252700584089
"6",0.14658549773869,0.493250005870482,0.175116871643783,3.06273600371019,2.93058634658315,3.56001152183921,0.132240108102986,0.136420140099502,0.165720171026998
"7",0.0643133198183876,0.494522191408662,0.196336836657143,3.65009786394449,3.41982985271801,4.07356281236407,0.141214393059834,0.145021593201225,0.172743848231157
"8",0.0636001888747826,0.524105360813336,0.207774565504895,3.04563507848269,2.58720341641803,3.1550115779688,0.124132193060346,0.113826557462799,0.138807835671718
"9",0.0349510681240286,0.607355138443913,0.303472376331246,3.00175851203544,2.11831282876425,2.62308152578978,0.131716252470702,0.100910342217707,0.124956073927384
"10",0.317292856156576,0.677817171305274,0.513502223225278,2.10158680214211,1.42698549702761,1.70000180363668,0.107589768027753,0.0769196811053406,0.0916362478011278
"11",0.891865232983344,0.784254714151662,0.655679894545826,1.24611536301171,0.939389617509181,1.14125720129399,0.097099898416497,0.0748636495875352,0.0909512704999528
"12",0.840357359328267,0.794252112651747,0.67701207294706,1.33512464630898,1.11390860756246,1.3483523530264,0.175722465102361,0.161245522611511,0.195182781021838
