"Variable","JanSlope","FebSlope","MarSlope","AprSlope","MaySlope","JunSlope","JulSlope","AugSlope","SepSlope","OctSlope","NovSlope","DecSlope"
"DRAIN_SQKM",-0.181639055871019,-0.196091748921093,-0.116423068615451,0.0107519139846881,0.0627834977320181,0.0466580267357861,0.0775601795185639,0.114987880096959,0.238505291957664,-0.131773345813234,-0.229070967432261,-0.284419324645403
"PPTAVG_SITE",0.350860603631596,0.396309067312973,0.139822881416949,-0.14515083879329,0.0955672354621163,0.0252525979792162,0.0870881032951736,-0.0176662586699306,-0.079703362373101,0.120260637914897,0.241687666498668,0.397331221350229
"RH_SITE",0.164897297368802,0.242922458555702,0.102782374802625,0.0663302261986831,0.128707795223146,0.190400414181049,0.160936689095708,0.14695500995927,0.0916890829839012,0.121678298861047,0.162887649161835,0.279429426536089
"SNOW_PCT_PRECIP",-0.678304704614467,-0.723207464592723,-0.642022073255017,-0.340573098594633,-0.580355973251535,-0.459388022451642,-0.35249635538257,-0.450721908987555,-0.285627706997034,-0.604280495049978,-0.593987010050468,-0.654037739783535
"PRECIP_SEAS_IND",-0.290523850123561,-0.28230391095111,-0.439002087983296,-0.461686706506348,-0.4578179374565,-0.394004847961216,-0.196791225670195,-0.446809225526196,-0.334958120335037,-0.64922360621115,-0.455648354813162,-0.317711858305134
"MON_PPT7100_CM",0.27137919179403,0.271134393605536,0.0920872633018936,-0.177111383108935,0.0415484676122591,0.195358437132503,0.287128902968776,0.438579691362469,0.160117119063048,0.0284517723858209,0.036827705378357,0.213569491444069
"MON_TMP7100_DEGC",0.739441728131345,0.772027486996735,0.645815633474932,0.366174670602635,0.613058295533636,0.45812273501812,0.296232030143759,0.490560875512996,0.295900832793338,0.572354621163031,0.640826073391413,0.696104831161351
"BFI_AVE",-0.366504887863896,-0.431038010318801,-0.418767849857201,-0.4171814625483,-0.514721482228142,-0.515515875872993,-0.368658650730794,-0.504031967744258,-0.422367821057432,-0.552377180982552,-0.453956368349053,-0.439695682434541
"STOR_NID_2009",0.127135732287776,0.131898156004687,0.252648448854727,0.386185819737781,0.406860894159053,0.244387519253466,0.139831653229181,0.34423152090298,0.23158661732544,0.360409596009489,0.233540625459398,0.0954051422921658
"FORESTNLCD06",-0.301077772024541,-0.338035098540332,-0.381791345669235,-0.302707178342573,-0.223606211150311,-0.144183646530828,-0.105375956992344,-0.207543139654883,-0.0950824393404853,-0.244793241654067,-0.271946624427005,-0.269263445892433
"PLANTNLCD06",0.232724614223931,0.263311704780431,0.377158606008949,0.524608058730079,0.42031313246658,0.376406583429929,0.139085611858307,0.413067684157172,0.297408057701106,0.376813928993565,0.294607255660011,0.24421210155053
"WETLANDSNLCD06",0.0112881229592047,0.0208919710580707,0.163368561027345,0.28481394929484,0.314992823357318,0.246964006166001,0.0980516288158256,0.337577459092128,0.204812742150657,0.202798336220554,0.13743218431706,-0.0124573839908643
"MAINS100_FOREST",-0.200774114271591,-0.219160378213241,-0.281611347109223,-0.249542803657571,-0.193815249478004,-0.112256701946384,-0.0482588139294886,-0.171646626826985,-0.0928408572731418,-0.117164662682699,-0.150411596707226,-0.140900472796218
"IMPNLCD06",0.493045447290959,0.537592744369338,0.600349557413383,0.519821753319119,0.458093010111808,0.374148831298716,0.282803107257057,0.425676449994347,0.24735536957031,0.538246416976611,0.56697660437323,0.530480074447545
"AWCAVE",0.288214396504047,0.310639965108578,0.242293915416531,0.241066317871703,0.208272783458182,0.255036689931211,0.146086507829614,0.0894310211395675,0.0189611620780171,0.117195365611378,0.30091139818262,0.35092969814692
"PERMAVE",-0.296400384477386,-0.306067518740873,-0.233049075436884,-0.0849713712118683,-0.118515922982191,-0.14178855076475,-0.0996688624504358,-0.00597955575128852,0.0221230362895354,-0.184121837498436,-0.283010705720829,-0.347577427927096
"WTDEPAVE",-0.110737228283804,-0.170442231497778,-0.253890117605255,-0.441810998447533,-0.37967232640382,-0.373462059354261,-0.253066882205062,-0.481585508803207,-0.360525503065515,-0.366655366657622,-0.288566808748073,-0.184660340634808
"ROCKDEPAVE",-0.0134518170575386,0.0386391683039256,0.0975028114074882,0.198932667693979,0.0609112025226976,0.103236152907181,-0.0655667670354273,0.146618476928096,0.0221184321745541,0.0558475709993136,0.0160454348983457,0.0183954208008785
"ELEV_MEAN_M_BASIN",-0.460347793426411,-0.520791346144132,-0.543149254805962,-0.503803969568243,-0.492360861113111,-0.516267069863441,-0.315635874913001,-0.523959008327934,-0.321943024455804,-0.527784577723378,-0.571375428996568,-0.523447812417501
"SLOPE_PCT",-0.273846373536885,-0.330461954581596,-0.42015743874049,-0.467228262173903,-0.545998032015744,-0.371233830129359,-0.186680106559148,-0.484392924856601,-0.280099359205126,-0.489783281733746,-0.353502771977824,-0.27750017999856
"ASPECT_NORTHNESS",-0.117487530592295,-0.0571999767201826,-0.0556075551395589,-0.0287853697170423,-0.164269085847313,-0.0386972904216766,-0.000820793433652531,-0.138176494588043,-0.0792449660402717,-0.221487028103775,-0.140955672354621,-0.102447980416157
"ASPECT_EASTNESS",0.106464412163369,0.0639559267261537,0.187935296517628,0.295147238822089,0.248232414140687,0.287774497804018,0.139136486908105,0.318914248686011,0.243511651906785,0.294655242758058,0.294590443276454,0.115832673338613
"MonthlyQ",-0.119204018547913,-0.115587230121613,-0.220002903980411,-0.150385648072436,-0.210581641695889,-0.214707428239623,-0.0534009009551084,0.0130403035017564,0.0559617201916509,-0.307346247678502,-0.316328838761712,-0.213109078724057
