"Variable","Jan_Max","Feb_Max","Mar_Max","Apr_Max","May_Max","Jun_Max","Jul_Max","Aug_Max","Sep_Max","Oct_Max","Nov_Max","Dec_Max"
"DRAIN_SQKM",-0.169958515430205,-0.120783865730788,-0.0531539893708191,-0.0281294137869676,0.00620043224278785,0.0530139711037618,0.10117372611219,0.0988611954518998,0.0569080666536141,-0.0223933298834456,-0.137619198204454,-0.178923848119459
"PPTAVG_SITE",0.504465866225943,0.453870998539807,0.283582743292078,0.224557706665895,0.22135795108063,0.137870165106666,0.103564138542543,0.153774615109532,0.199792038320931,0.277933612041415,0.450134610823605,0.528732625380286
"RH_SITE",0.227700955700939,0.214260485592014,0.115374517301741,0.0919109813225195,0.15623168268375,0.132135131594331,0.0941643607600371,0.0867958120189237,0.111212565536996,0.164055053047113,0.212388188629216,0.268037823748721
"SNOW_PCT_PRECIP",-0.876960229901137,-0.888496914975271,-0.880394465562855,-0.885618364057963,-0.882534272995642,-0.837932491129086,-0.774477656938467,-0.810629772103166,-0.850673045861377,-0.905894387104787,-0.917379156146229,-0.900703473882475
"PRECIP_SEAS_IND",-0.310392993896988,-0.347773965120814,-0.442441111525237,-0.532739248883116,-0.535146382807813,-0.521187648372173,-0.553774079673459,-0.530415321699477,-0.557145368665132,-0.606178715894273,-0.511764568283227,-0.343399482401597
"MON_PPT7100_CM",0.248943684431236,0.192677223899916,0.117154776572609,-0.0953851249385561,0.0820108264634424,0.349788048555691,0.607950761396924,0.498795195216694,0.36374458275331,0.0122052707917328,-0.059087142711054,0.108936412287217
"MON_TMP7100_DEGC",0.90880825059833,0.89112916053051,0.876797824667107,0.915767759946407,0.935246463363089,0.904584332192092,0.852278031920017,0.861749847061435,0.882037232821051,0.908405268837058,0.959002362305018,0.931034979559696
"BFI_AVE",-0.482919547334823,-0.501032302297129,-0.508559898303491,-0.550850986534526,-0.625162450899209,-0.63937287568206,-0.647016964544584,-0.633081732372512,-0.654199764523914,-0.656869409905125,-0.61453436435783,-0.505173876704682
"STOR_NID_2009",0.142645846115286,0.193437403108576,0.308707887010427,0.397694887959944,0.444627401660824,0.445180539887532,0.446752065976201,0.437318840538411,0.411509909828556,0.410153989696012,0.307831308244363,0.176453738261981
"FORESTNLCD06",-0.350415986247678,-0.386050449331071,-0.475219104970635,-0.510851082530388,-0.489975747916576,-0.495095865726759,-0.446525921973696,-0.443790575194254,-0.447933673114898,-0.41509560759405,-0.412034389838695,-0.374775146769585
"PLANTNLCD06",0.320373743866434,0.370360435860352,0.479298821366412,0.546704840253826,0.568628168114313,0.573173934750362,0.547318170088377,0.526857191932515,0.535922387811114,0.537838544574938,0.464141725144731,0.353035648679036
"WETLANDSNLCD06",0.0608081141839101,0.0957608886964861,0.21442846110488,0.323545290342413,0.39297100625806,0.405522923342495,0.363743127019586,0.342134986451596,0.311432442095921,0.298702826447452,0.203999230738333,0.0978419748488859
"MAINS100_FOREST",-0.29653398878011,-0.323463111635672,-0.432922713428627,-0.477382828167582,-0.44892473444773,-0.45194476366419,-0.394518851532399,-0.397926391734218,-0.394648436168963,-0.364802115887009,-0.350195631168007,-0.319502328717511
"IMPNLCD06",0.512074286070193,0.542817919915189,0.624335049750203,0.68403560916895,0.672483900460005,0.648198126372966,0.605351311085657,0.597449148304905,0.618256240730149,0.630703036554381,0.627758817711124,0.554198534794004
"AWCAVE",0.239668985148714,0.231742300288906,0.150294271707019,0.144912770820361,0.173193139767655,0.180269943516567,0.132920688715159,0.14220622206478,0.11530963740285,0.0945545157461622,0.20364300299363,0.251354228203419
"PERMAVE",-0.27446942689681,-0.265925544603779,-0.222476488996362,-0.176596448110742,-0.129152549095037,-0.128132773822366,-0.132781970145967,-0.163379551556554,-0.172340716619277,-0.17262890484003,-0.268102715880739,-0.271517381434582
"WTDEPAVE",-0.189917296633638,-0.208389286483497,-0.284346045044431,-0.383670883354179,-0.465751575571308,-0.484047475067235,-0.459354616057613,-0.428416963258808,-0.425148569052739,-0.416446454446777,-0.344962594114046,-0.224987804286988
"ROCKDEPAVE",0.127828705394767,0.128798064072757,0.191312908406032,0.253632006145244,0.270951070145409,0.278123443158101,0.217102316695751,0.195117182151684,0.20969103081394,0.221489827968525,0.187592193764306,0.161366577351182
"ELEV_MEAN_M_BASIN",-0.617026332150096,-0.626228577735447,-0.659272668165521,-0.736630398480662,-0.792712122172097,-0.784036288342223,-0.739794246994536,-0.7318061272772,-0.739794066408421,-0.761093614415435,-0.761159614798244,-0.672605154731116
"SLOPE_PCT",-0.442140543794971,-0.483740264253746,-0.587217482574367,-0.694847280923885,-0.777428842697712,-0.793159952208897,-0.738551040529754,-0.705516422116486,-0.709729019871094,-0.710034518267816,-0.600371882214085,-0.492871294623269
"ASPECT_NORTHNESS",-0.156040709443058,-0.151683933712545,-0.161991567606614,-0.181196577116034,-0.191800597379816,-0.141401789828437,-0.147718368148384,-0.158941835778787,-0.178340662416834,-0.217150859495662,-0.185692677035209,-0.138848054987304
"ASPECT_EASTNESS",0.0826896238279257,0.0769009691861326,0.151246769755247,0.241614636300636,0.257257337760569,0.266703066951473,0.263254968948773,0.237478549931298,0.233047911023451,0.229040528456874,0.178135033200155,0.0996230744473962
"MonthlyQ",-0.118169845247501,-0.0795017088123674,-0.183129783133772,-0.314720136058425,-0.340609975564896,-0.213475831363299,-0.0784787964434299,0.00277741277627925,-0.0338445790622341,-0.221841885325262,-0.285404169092234,-0.19648526169867
