"","test_R2","train_R2","oob_R2","test_rmse","train_rmse","oob_rmse","test_nrmse","train_nrmse","oob_nrmse"
"1",0.809263528187838,0.465274045102217,0.153529076177491,0.147320835130152,0.108654375534841,0.129454247798267,0.404002404700582,0.262220184971584,0.312417393555717
"2",0.721231467871934,0.521328970126481,0.233962417039002,0.143533253310692,0.0804886390829448,0.0949897136175114,0.372182288669392,0.200339534868227,0.236433306118985
"3",0.817136513400185,0.579772655682324,0.334749416495336,0.130794329946125,0.0820970059298126,0.0960735285479628,0.339691766020716,0.200133196739188,0.234204672540137
"4",0.721263861911432,0.528580911987832,0.281373816220921,0.111207437559942,0.0706784393789332,0.081957527658259,0.363596679631308,0.213835364968767,0.247959886957625
"5",0.729280015749378,0.427120923010513,0.107390145092619,0.164117660205619,0.097957723287215,0.114107436501148,0.373149285727749,0.198077190092159,0.23073301044877
"6",0.6602472055998,0.40249247832858,1.09927193032071e-06,0.183893494606974,0.108044793968683,0.126831104686269,0.452530001127398,0.242782079859612,0.284995863803948
"7",0.446479138885549,0.323732158468218,0.0046600934414754,0.17029975749912,0.15568716739052,0.179677946934773,0.483598572539457,0.359146163590084,0.41448917341723
"8",0.588941947147181,0.341357365903392,0.00106245471588047,0.175703649811631,0.134521160227726,0.156532569547629,0.4493530385246,0.301158320161777,0.350436211044916
"9",0.240965137942882,0.410439379985289,0.101641896601114,0.196594841365976,0.150580419754529,0.175177972970035,0.520334900602735,0.320189028766041,0.372492420448259
"10",0.810542636179404,0.509149205581684,0.247578445092343,0.18931386236203,0.107505774413652,0.125529550086223,0.399402718582068,0.200637193139436,0.234274825912585
"11",0.78958059175666,0.47291002408228,0.188198434565852,0.167101660290254,0.0906348851955669,0.104541623075049,0.385906905496559,0.185422050164219,0.213872638954021
"12",0.743850266905675,0.589545051191113,0.392702118801417,0.132040379431644,0.0905657888323573,0.106306613562078,0.375153664577992,0.22933081286297,0.269189750514168
