"Site","JanQ","FebQ","MarQ","AprQ","MayQ","JunQ","JulQ","AugQ","SeptQ","OctQ","NovQ","DecQ"
"lg36","127.00","133.00","218.50","341.50","256.50"," 82.60"," 73.15"," 73.70"," 74.05"," 93.80","121.00","130.00"
"lg37"," 643.0","1090.0"," 849.0","1500.0","2490.0","1410.0"," 390.0"," 319.5"," 330.0"," 792.0"," 510.0"," 594.0"
"lg38","1290","1230","1450","1605","1430","1310","1140","1060","1060","1160","1260","1270"
"lg39","1280","1120","1200","1115","1100","1215","1235","1770","1540","1340","1185","1225"
"lg40","2980","1560","1320","1470","3320","3055","2005","2845","1805","1510","1575","1830"
"lg41","3255","4700","1930","3215","2865","1305","1095"," 995"," 960"," 943","1135","1565"
"lg42"," 853.0"," 755.0","3370.0","2590.0","2420.0","1555.0","1410.0","1390.0","1050.0","1110.0","1110.0"," 923.5"
"lg43","1020.0","1040.0","1230.0","1490.0","1370.0"," 545.5"," 263.0"," 169.5"," 162.5"," 268.0"," 755.5"," 522.5"
"lg44","2585.0","2550.0","1175.0","2345.0","1280.0"," 934.5"," 724.0"," 556.5"," 662.5"," 469.0"," 719.0","1045.0"
"lg45"," 360.5"," 348.0","1690.0","3620.0","1795.0"," 953.5"," 404.5"," 332.5"," 316.5"," 319.5"," 295.5"," 348.5"
"lg46"," 769.0","1260.0","1120.0","1550.0","2465.0","1435.0"," 541.5"," 342.0"," 333.5"," 701.0"," 444.0"," 554.0"
"lg47"," 886.0"," 871.0","1065.0","1320.0","1260.0"," 973.0"," 771.0"," 710.5"," 713.0"," 860.5"," 970.5"," 886.5"
"lg48","178.0","161.0","199.0","233.0","227.5","299.5","247.0","236.0","336.0","719.0","313.5","232.0"
"lg49"," 887.0"," 860.0","1715.0","1510.0","1780.0","1610.0","1250.0","1210.0","1310.0"," 821.5","1340.0","2105.0"
"lg50","1265.0","1090.0"," 938.5","1110.0"," 592.0","1115.0"," 661.5","1625.0","1765.0","1015.0"," 654.0","1055.0"
"lg51","5475","4530","4525","6190","4885","3400","2115","2255","2355","2025","3230","3990"
"lg52"," 990.0"," 979.0","1095.0","1305.0","1840.0","1900.0","1380.0","1240.0","1040.0","1030.0"," 999.5","1055.0"
"lg53","1385","1580","3730","3050","2610","2055","1660","1670","1335","1190","1225","1230"
"lg54","4275.0","4760.0","2640.0","3170.0","2875.0","1545.0"," 771.0"," 779.0"," 863.5"," 760.0","1625.0","3440.0"
"lg55","1800","1630","1775","2900","2610","2555","1750","2045","1410","1330","1350","1550"
"lg56"," 238.0"," 284.0"," 357.0"," 480.5","1200.0","3725.0","1250.0"," 412.0"," 322.0"," 390.5"," 392.5"," 269.0"
"lg57"," 1125.0"," 1480.0"," 2355.0"," 7910.0","12300.0"," 6045.0"," 1720.0","  926.5","  705.0","  877.0"," 1310.0"," 1165.0"
"lg58"," 299.00"," 337.00"," 133.50","  43.85","  31.75"," 160.00"," 835.00","1910.00","1750.00","1915.00"," 900.00"," 437.00"
"lg59","196.50","196.00","165.00","150.50","135.00","105.00"," 81.80"," 87.00"," 84.85","157.00","133.50","241.00"
"lg60","2245.0","1350.0","3230.0","1625.0"," 507.5"," 212.0"," 136.0"," 134.0"," 145.0"," 166.0"," 297.0"," 916.0"
"lg61","4705","2460","2155","2810","3820","3465","2410","3165","2340","2200","2765","2735"
"lg62","5070.0","5670.0","3265.0","3710.0","3435.0","1705.0"," 911.5"," 869.0"," 821.5"," 866.0","1755.0","4005.0"
