"","test_R2","train_R2","oob_R2","test_rmse","train_rmse","oob_rmse","test_nrmse","train_nrmse","oob_nrmse","test_R2_sd","train_R2_sd","oob_R2_sd","test_rmse_sd","train_rmse_sd","oob_rmse_sd","test_nrmse_sd","train_nrmse_sd","oob_nrmse_sd"
"1",0.837587765669611,0.888778899606416,0.825508716739357,1.61520915085983,1.35487521663475,1.66335499735352,0.246495337119973,0.207093752441766,0.254250803469046,0.0177536058730641,0.00361684883809859,0.00624737211482962,0.19469675091035,0.0435957633552339,0.0525117436235506,0.0176314154794223,0.00446231294761185,0.00558442373021064
"2",0.833088357776877,0.885798424193142,0.817679850887963,1.81851151702755,1.5238736699947,1.88246118827482,0.24022634937734,0.201510094798302,0.248943591038577,0.0253996933174806,0.00634751981041156,0.0107087546829282,0.232898659270612,0.0535992896534144,0.0621797720447355,0.0235973316383158,0.00576453157519233,0.0071383827158633
"3",0.814582670827158,0.88433058155733,0.804089830644474,2.0893726033081,1.68163864464406,2.1201578722311,0.210491720678369,0.169234253448407,0.213359946970148,0.0425146675298847,0.0105055386365943,0.0181192676751073,0.19120099912451,0.0296045167726062,0.0376001538964678,0.0214720892124537,0.00424743082006842,0.00510448198857676
"4",0.745925896270307,0.848919552831375,0.742028618611808,2.24750802715518,1.7833708617813,2.25779197555092,0.165374555147671,0.131146154972802,0.166039154225778,0.0352535533008002,0.00990708318422632,0.0186524174641277,0.240945611218734,0.0561916589864599,0.0728755668528528,0.0190413594525751,0.00454923350659754,0.00605025859639301
"5",0.727244822368391,0.83011793958788,0.707703040233642,2.65073979503428,2.12594547947156,2.70271493608939,0.146750097660747,0.117520335582771,0.149403323802116,0.0597046958991818,0.00999486598366879,0.0137355071890623,0.269356807461081,0.0630860474390315,0.0592118184718594,0.0173397351842975,0.00384256011797322,0.00384758018262538
"6",0.690957487645799,0.80835628112661,0.672156419260556,3.01968776928297,2.40038087236224,3.03711558691412,0.145464767729619,0.115348225575668,0.145943779762897,0.0632436945986014,0.00785247152881424,0.014535337933887,0.349464754346914,0.0473397261866544,0.0429184456702659,0.0202825426893249,0.00292883975738332,0.00298118111200281
"7",0.640935559062923,0.781180558974765,0.621499117311544,3.37634611402726,2.677268730419,3.3867411292539,0.148647791878885,0.117500178061486,0.148637592099552,0.0680721228160378,0.00696858320466917,0.0166730241778211,0.370586124953958,0.0725795742405575,0.0935152705408613,0.0210599927056148,0.00410101122785044,0.00524836064611827
"8",0.645186271213984,0.782624647577747,0.625217542538501,3.0112370419247,2.39136215013799,3.01862235022547,0.134700232371406,0.106694751561549,0.134681015342508,0.0572301885279645,0.00439289518738416,0.00844116438967415,0.349221099483125,0.0697532227681819,0.0817962891767699,0.0192341857802414,0.00378560532761096,0.00455547190555846
"9",0.664282189518632,0.796371116235381,0.648719799977517,2.68398338425295,2.12794239336958,2.6894740045835,0.127918112679341,0.101296968809915,0.128025579398359,0.0512590095188901,0.00790787815853469,0.0128383602169658,0.305912941819347,0.0403088160707605,0.0497363933576464,0.0165064804177563,0.00237188102597843,0.00283050916687081
"10",0.774216178372893,0.859835014060192,0.765290436554612,2.13496458952375,1.71626353385747,2.16467629556037,0.120136790213536,0.0966670053566725,0.121923103961474,0.0492428208120122,0.0034686815076769,0.00633837310847564,0.29952949893436,0.0429690920085288,0.059104090458128,0.0162323063652536,0.00240393529051135,0.00329535929618317
"11",0.817124458305555,0.867213238661191,0.798263761224793,1.61396092029819,1.37827758700588,1.6692610506873,0.134072122723333,0.114923549116275,0.139187999969014,0.0186746595638252,0.00356541304978124,0.00517101956812576,0.309082949396423,0.045519144703366,0.0533067368046211,0.0215316105357388,0.00291567318747758,0.00341064185724204
"12",0.825313481765706,0.879637956166327,0.814389112240791,1.6420988509399,1.37799709859455,1.68084960140004,0.212828114649087,0.179038072819511,0.218381044325021,0.0315325763478712,0.00509547144165416,0.00854895162571202,0.270073350557625,0.0500719511350362,0.0622684533822737,0.0272843711369265,0.00467625181545575,0.00565578747651248
