"Variable","Jan_Max","Feb_Max","Mar_Max","Apr_Max","May_Max","Jun_Max","Jul_Max","Aug_Max","Sep_Max","Oct_Max","Nov_Max","Dec_Max"
"DRAIN_SQKM",-0.18155049571172,-0.131875085946991,-0.0383545515562658,-0.0118244588808536,0.017169783709172,0.0862614883892898,0.134690155057377,0.130011956458705,0.0984788510928103,-0.00845578812641053,-0.0964722125242972,-0.151304212251372
"PPTAVG_SITE",0.459032135179781,0.393890463700692,0.222201338115719,0.15711058503664,0.162852034588448,0.0850080338915333,0.0498462699947629,0.078258195014319,0.134756697968537,0.291900415513622,0.411225075535857,0.473169780256511
"RH_SITE",0.162546002443757,0.107714934883854,-0.0213231016951614,-0.0465095728476524,0.0470003552881556,0.0286330325199567,-0.00851109471335984,-0.00590535479881156,0.0217279735859201,0.106703584430977,0.121241873410877,0.192082481348768
"SNOW_PCT_PRECIP",-0.73057944250159,-0.763617345961028,-0.768984531441124,-0.801376965042122,-0.799077196889595,-0.741308890430987,-0.67125157370846,-0.707440927005359,-0.753491791812347,-0.836400856756417,-0.839819287245276,-0.768297676723719
"PRECIP_SEAS_IND",-0.14405455095917,-0.21277410751551,-0.320692475845158,-0.399958073252885,-0.403731675214057,-0.360533577435849,-0.390729815549121,-0.365276064934115,-0.405270644151685,-0.514617790622746,-0.420125823189354,-0.198983663345227
"MON_PPT7100_CM",0.377347784148044,0.310353775004047,0.143251550411196,-0.131459699607775,0.0691743196194123,0.274634478021846,0.458339677636857,0.387106476884803,0.26479993631617,0.0328836301646294,0.0174810370508068,0.247971851501791
"MON_TMP7100_DEGC",0.898158040908319,0.868719995404617,0.840156692989133,0.839246854136174,0.860898147273676,0.820000739155795,0.765370149500248,0.768293315705126,0.785925636143151,0.836508051774009,0.916008900949573,0.906765608269938
"BFI_AVE",-0.302392284695735,-0.352483407839455,-0.393243367020015,-0.467836843299255,-0.575001625806515,-0.593207483266962,-0.582702930191097,-0.591397063153428,-0.616784075867727,-0.647321664884348,-0.537183104039746,-0.34693371996884
"STOR_NID_2009",-0.0703248758739386,-0.0752502220879998,-0.039390143538817,-0.0499096478225194,-0.050664142246522,-0.0404978928539527,-0.0311020459926469,-0.0101698341268302,0.0206591430641339,0.0832463093617253,0.103415814874713,0.0108767045501954
"FORESTNLCD06",-0.215925949908805,-0.272140509368648,-0.396648096746807,-0.496317175203608,-0.488554536734422,-0.48200749123638,-0.439809981937238,-0.457457862952694,-0.439051947095739,-0.35253364591177,-0.303916655441861,-0.246179596468863
"PLANTNLCD06",0.0963024429266899,0.169994207769294,0.296153221750528,0.43999297087954,0.541351761067978,0.563015582015383,0.555711118259802,0.540203020458741,0.533467198727398,0.515015615997676,0.368077479350355,0.160351085222286
"WETLANDSNLCD06",-0.147263224880621,-0.119992551077322,-0.00222392419984857,0.158066178671318,0.266890437480985,0.280195687412752,0.261918389576456,0.248668359420557,0.194433804940988,0.1424644110624,0.0202433212377665,-0.106562682639306
"MAINS100_FOREST",-0.0666966579943851,-0.113937639867499,-0.253084151700446,-0.338249933178203,-0.335312116233901,-0.36236537096199,-0.341352276528565,-0.350437678637109,-0.320902978145461,-0.2244035105906,-0.175948914726034,-0.104888450472276
"IMPNLCD06",0.415689032204326,0.466225575499843,0.552613976179253,0.633368413049083,0.629178439181238,0.575756301577592,0.529683360233732,0.54260353611796,0.5778614079998,0.596590574972286,0.558742020662433,0.450395572412781
"AWCAVE",0.202086858267685,0.197289680944368,0.139679406306447,0.130333167824432,0.168426901055493,0.164172219135356,0.115158666515063,0.139583777601017,0.109185830986053,0.0944452388445815,0.147225413123826,0.215995309689422
"PERMAVE",-0.250591871699277,-0.244077403338315,-0.233340030962132,-0.204678420614428,-0.179805947565967,-0.168776571878389,-0.157150163735504,-0.186016934401683,-0.207564807148368,-0.254182276773496,-0.32249728349182,-0.273299221557824
"WTDEPAVE",0.0553188375653263,0.0309564093512843,-0.0436526681599706,-0.208276974365965,-0.398056122470961,-0.417816300371475,-0.400245502708202,-0.38502292232244,-0.372322139220615,-0.371522064007624,-0.185940007470968,0.0129258614692467
"ROCKDEPAVE",-0.0516817571336922,-0.0494757593890706,0.0109867506633873,0.135620010693708,0.227128349090991,0.237025700372141,0.215197494851846,0.188544108054192,0.163716904435301,0.147463122959046,0.0355081770321606,-0.0103127471333106
"ELEV_MEAN_M_BASIN",-0.42591999152236,-0.440346828273295,-0.457521644130942,-0.581003018413733,-0.695906928123783,-0.661469679409897,-0.602629485345897,-0.602752413756625,-0.612627853550418,-0.675496656470551,-0.61303053322318,-0.482711402466183
"SLOPE_PCT",-0.196741427485371,-0.259217263714322,-0.385722909390084,-0.564466170838727,-0.697665846514571,-0.695554506737233,-0.647507373105631,-0.637060554143576,-0.620100438964743,-0.606803283954139,-0.429372798086767,-0.255998476157204
"ASPECT_NORTHNESS",-0.0747910477544168,-0.0766451325698507,-0.10105410899326,-0.157793635928818,-0.220924111221644,-0.183031518625724,-0.177946018775965,-0.166267682873946,-0.178259609320232,-0.23430452712396,-0.17213927563811,-0.0920974629154204
"ASPECT_EASTNESS",0.0382298398363173,0.0628426065011714,0.155660544908563,0.252134490513576,0.256977401068877,0.249769134290687,0.260568203379304,0.244788094601505,0.224412807902528,0.211741887657665,0.171026246894468,0.0650118378797274
"MonthlyQ",-0.14576947565756,-0.145701626914663,-0.164240359190202,-0.272229027930197,-0.251242515193497,-0.181738781302286,-0.11372071723701,-0.0898324558327161,-0.122204464431953,-0.20238209915799,-0.245657541673512,-0.166829878043839
