"Site","JanTS","FebTS","MarTS","AprTS","MayTS","JunTS","JulTS","AugTS","SepTS","OctTS","NovTS","DecTS"
"sm1",0.193272109267726,0.2175061449776,0.308105346832773,0.388148756681346,0.358302985675871,0.373903512222529,0.189351643182259,0.270844072104922,0.338281601051818,0.425698521697693,0.463471921956865,0.24008480272586
"sm2",0.495398771964323,0.475560618507382,0.458247734067648,0.374964604350224,0.508119734335536,0.403993330656029,0.329452500738,0.315105841353713,0.403224024983569,0.558235885901526,0.521022612995046,0.496603292073089
"sm3",0.465361567986203,0.438643682222423,0.435049380133746,0.34663639496181,0.508178832206446,0.426636234930702,0.382537269056616,0.381498010952633,0.399522674661543,0.587366793359308,0.518514972365372,0.467293366404002
"sm4",0.433572039260115,0.446143321065311,0.493706669445462,0.441820218854452,0.475927313989575,0.527544338384818,0.434215068881381,0.495454925778517,0.497691731210485,0.606293260865851,0.528548131266166,0.487327573135359
"sm5",0.133804691130746,0.100046190950958,0.228316713274819,0.20132321027967,0.162901960500936,0.141848213988882,0.0211605244045055,0.0821554332140182,0.109219565559535,0.185550223349556,0.230936252494556,0.155950604942877
"sm7",0.411218641103875,0.453971404540164,0.490523164469955,0.461324041592116,0.463546955897189,0.523722898812194,0.42484785764071,0.485687809858998,0.579275962427813,0.628462450876106,0.564166642559892,0.495395378415584
"sm8",0.398853839221823,0.409601157288094,0.466897374109618,0.420952773890982,0.445082671425586,0.498674606143524,0.378697515468992,0.446846808977814,0.484202448029215,0.57510592470909,0.521698053866854,0.438154245465393
"sm9",0.475502974783878,0.442101429040776,0.486335069769766,0.460065013243257,0.464975448090117,0.501610215386355,0.461641875621508,0.510482538752269,0.475032129711806,0.623006812251472,0.565335822787093,0.498039422376476
"sm10",0.385264789915877,0.360075634819606,0.400105832186262,0.400387538383759,0.409684689828115,0.462337900692679,0.357866047677257,0.43366092418609,0.483835442463065,0.572518134200613,0.530915681924599,0.45079180440272
"sm11",0.420211710699574,0.408504365330538,0.452559122066626,0.343842473788402,0.501514854008675,0.50348336517943,0.476813756425083,0.498441989444661,0.516745828009554,0.63178707543125,0.540750614800737,0.454584561416369
"sm12",0.148413833855939,0.128600542045765,0.258806985897304,0.289899382608765,0.328902043862924,0.149829196827635,-0.14548930910619,0.196711658233445,0.187288754970109,0.306128897823328,0.368726743673646,0.197950698486415
"sm13",0.415999879371212,0.402888810662063,0.422583680313334,0.387629924660111,0.378385573674117,0.416982260569175,0.369551048375435,0.362111797133607,0.381742380820387,0.495856074422134,0.524664687434557,0.548697506413804
"sm14",-0.00104815227740512,-0.00648518374194459,-0.0195441039950007,0.0088131763455209,-0.000657910166591027,0.00123724761736331,0.00587666953146288,-0.00071707977916731,-0.00548268197485985,0.00179513022147993,-0.00780866703222683,-0.0143187736534141
"sm15",0.472370778976258,0.459818106259664,0.453699785033734,0.367327880258843,0.523745750711194,0.433175207369768,0.401859139175421,0.395603575180082,0.409802368870939,0.58632533708449,0.522449886786453,0.471066254405151
"sm17",0.176812032320664,0.225259812627708,0.17477724613117,0.161157745238628,0.225506342743533,0.253583824338608,0.280178707621752,0.207306998928953,0.266255890865689,0.199984520091416,0.307689874354509,0.251047286897615
"sm18",0.0820259593034448,0.0765594882105844,0.107907478042725,0.200547279534894,0.47450742538164,0.379863010440165,0.345837685827763,0.349132324511131,0.387077887126841,0.450523100852891,0.289768079707626,0.122218676908449
"sm19",0.179665333393725,0.205911797514511,0.158374781102422,0.135749830698177,0.1592176428393,0.258859502216339,0.287551592418262,0.217128340512688,0.309626879299039,0.1745828747266,0.261997475201083,0.245515551346221
"sm20",0.389967605573099,0.40169373022563,0.490667752482828,0.439337499621837,0.476258877129111,0.535381867596208,0.394062193109321,0.469993948084965,0.50607306101528,0.59748097931954,0.54738408007398,0.447158073359016
"sm21",0.49049821082465,0.469188818814062,0.464431693041286,0.368916695664846,0.543731790076247,0.467051437045284,0.432703056405953,0.443334749580206,0.436744576284839,0.610048051795089,0.544914535263029,0.491952476233249
"sm22",0.12457722841719,0.180922134857685,0.226854025514753,0.250797157394926,0.24764804992039,0.220333159996609,0.245873138693311,0.276805283195551,0.372452328321141,0.329221435938455,0.331805404157989,0.147371030819747
"sm23",0.468447115921112,0.433989999187095,0.454986015376096,0.354454974195071,0.503417733551039,0.337194633004609,0.35149525685752,0.43980271051508,0.442417954269025,0.570827114465997,0.535135051230077,0.455044168108711
"sm24",0.193296663692344,0.227158356922237,0.163895282917408,0.270249151257588,0.241130258509528,0.207483620134952,0.166072751015054,0.1415508690327,0.114636326808506,0.21308775210627,0.338863950053676,0.267587400272707
"sm25",0.487722068373101,0.47608854255343,0.478817368460488,0.361357825741869,0.553137084030652,0.477992528285571,0.443296255482194,0.34533957286102,0.409386741917846,0.590326657053637,0.537584144637658,0.456518484227957
"sm26",0.323405732649469,0.278216851427493,0.254383250407129,0.318165674398159,0.39317426684953,0.495914869010616,0.427207200381483,0.347622304777336,0.445257574372314,0.367042068799885,0.498821927110529,0.447228757372531
"sm27",0.492043893361274,0.469538670123993,0.459902850052717,0.36357373682278,0.527317909286291,0.43023054374184,0.381992736506233,0.392936823933279,0.410262248055026,0.601096732823684,0.532132874313712,0.486481730359806
"sm28",0.218784693469443,0.281601212435746,0.40557532577125,0.489608582478471,0.492792365840838,0.451201410557266,0.412922317379579,0.411447080580403,0.417336369544455,0.527661013104285,0.377893615314295,0.255899595982918
"sm29",0.152198219227578,0.211095087026164,0.351583308798979,0.509761288991605,0.524891558555937,0.477979399153917,0.364920893548974,0.448965695740516,0.473265076815018,0.555750287464355,0.48408244636052,0.275357687201145
"sm30",0.41812071170246,0.45217367960247,0.517285858199527,0.511227935748101,0.51847971590221,0.522973985593116,0.408707276259111,0.360535595712019,0.262438198320354,0.537069807933774,0.554902646394687,0.510709342782874
"sm31",0.476731455364281,0.62648737434977,0.538926208585088,0.421036257569756,0.548550593403481,0.760298820225091,0.522358798260583,0.583052890256283,0.538363518252458,0.61082757149947,0.578957016665668,0.425661131012099
"sm32",0.441814638245026,0.413885481537161,0.439926303177165,0.335225657375193,0.507449094783132,0.360228227274519,0.373165291365185,0.310748219085142,0.417236071239115,0.596238636960717,0.532020215168158,0.44732273756068
"sm33",0.11350536083701,0.0981906676883008,0.12449260722364,0.117088149404718,0.453382219203567,0.342133080478387,0.327956387876839,0.328044445864853,0.381275958545142,0.443228855096291,0.263271157634171,0.141557752032532
"sm34",0.456531263983372,0.442610226257127,0.455479248802556,0.342480274420569,0.553260836176706,0.490265161788085,0.585806203061719,0.490113862589029,0.516591607796058,0.638358698150533,0.537671434912226,0.521636709981905
"sm35",0.0978487694270712,0.0868197455164252,0.12513056280725,0.11784923968663,0.0864845794098147,0.114968850939833,0.138446279634872,0.181431043514951,0.240169955855566,0.20879400856662,0.178912895142806,0.0753824337343118
"sm36",0.216674161884317,0.204637200683429,0.183260013382823,0.117438005114814,0.134777304015881,0.244214318654646,0.314939575082016,0.180568594813002,0.326035449934455,0.267723022640576,0.291010604424458,0.235309659922851
"sm37",0.392370760150399,0.433286996289911,0.518028852307721,0.4670284503164,0.487541369098254,0.520720812916645,0.411452691614804,0.508268313199999,0.520095161819188,0.594190793546884,0.560255093978408,0.485536482396215
"sm38",0.562523891145052,0.537131022263486,0.521471755683454,0.413637590157215,0.575218620035718,0.490440111191618,0.565790294921899,0.529908494649033,0.497009000308211,0.674522518970751,0.608895377748739,0.556025674425077
"sm40",0.398685443239505,0.411178886282993,0.433139962468047,0.464176959826589,0.472696395325542,0.50354815676949,0.458613901941156,0.443624971940028,0.486980566971238,0.54103524328595,0.567357051696467,0.564620660871456
"sm41",0.423471555438803,0.396414704226646,0.431898833779229,0.380951418452301,0.501471943448615,0.428162635792534,0.422103718703463,0.472250533840609,0.492857328748364,0.588119615839038,0.503050411106033,0.372215147235749
"sm42",0.226428442828402,0.263796976293711,0.205001545261569,0.222705981244601,0.306922000399445,0.310391673451111,0.309643738832232,0.206834571636575,0.260605443970386,0.206593710165758,0.350069736803935,0.303189169245773
"sm43",0.0172040139464073,0.0174741259280824,0.105127166839201,0.394021972581362,0.384092777959142,0.260529549395861,0.23434077795596,0.197399064518025,0.365132914016836,0.272175520652085,0.199364904446415,-0.0188328471163856
"sm44",0.400131845888258,0.431302852334658,0.432170268023225,0.336389501462682,0.488708235104402,0.417220342158714,0.402828097325268,0.354614779853292,0.445358098679662,0.585123500058576,0.524736178897892,0.460535027801912
"sm45",0.316447967393732,0.322036868083047,0.35070496751279,0.273293998521116,0.390763988368959,0.294320857080981,0.237906066616217,0.278832667448174,0.336057479093647,0.430638072693342,0.4127783766055,0.319947884609432
"sm46",0.415165390713422,0.393662170557153,0.417047395914373,0.337315338302241,0.493149804839257,0.369807622417072,0.402539948358312,0.35826029640044,0.424491335914371,0.573755646513432,0.508844296902432,0.423616220502355
