"","test_R2","train_R2","oob_R2","test_rmse","train_rmse","oob_rmse","test_nrmse","train_nrmse","oob_nrmse","test_R2_sd","train_R2_sd","oob_R2_sd","test_rmse_sd","train_rmse_sd","oob_rmse_sd","test_nrmse_sd","train_nrmse_sd","oob_nrmse_sd"
"1",0.881047486202979,0.914862058605183,0.866789694618595,1.86510890183996,1.52914228725043,1.88558440108977,0.233183200227014,0.190638289681793,0.235075797806075,0.0523797774605097,0.0111252769351642,0.0173969584812307,0.334691295275449,0.0907015984615415,0.11130688957274,0.0465550455665548,0.012836770368991,0.0157742633683007
"2",0.882456823535655,0.920785013199281,0.871825805130763,2.06669459118984,1.68149152618077,2.10291653329267,0.224827408677344,0.183072353615378,0.22894788193809,0.0412755093354329,0.00769116121355127,0.0114362577814962,0.375675459926912,0.0844600662956888,0.0976384688790513,0.0388393841589355,0.010326945381923,0.0119754851890825
"3",0.895700338200701,0.930515614409902,0.883177525849449,1.96909732239687,1.59885956552303,2.03695516336514,0.177952260365386,0.144509162554278,0.184107516363207,0.0367387741930194,0.00609574506634879,0.0101657150927537,0.333253478391487,0.0643220768509969,0.0812442258050796,0.0287615552966527,0.00502906964178528,0.0064145249943224
"4",0.896020663622933,0.931899085616781,0.889272233680609,1.80720713728023,1.48851747170853,1.86465094227764,0.127451039239349,0.10522473580618,0.131815846601887,0.0407837867695744,0.00745581926397056,0.0123561558809759,0.352566992829419,0.0793364025122482,0.101055448441362,0.0222717329314696,0.00490239690352952,0.00632005636173801
"5",0.890353744838302,0.92664168045947,0.881264755815262,1.89385383986393,1.57267353176292,1.96868103527215,0.10373612991442,0.0862735266757946,0.108000118530107,0.0352223267232021,0.00512136625537206,0.00764609386565142,0.307650357763904,0.0634981276035451,0.0730205523824311,0.0152586366822388,0.00331816379869244,0.00386793286628111
"6",0.856660258461195,0.901580235362538,0.840168942572537,2.03913376635974,1.7214343572671,2.15294813895286,0.0987406857148595,0.0834490860080969,0.10436821956845,0.0563834444504483,0.00913497500584421,0.016000587311531,0.44696688090905,0.090242340131671,0.117960518679262,0.0208866692562434,0.0042407037835798,0.00557672157914192
"7",0.77280201952087,0.851398376076011,0.756483764526523,2.43839739504592,1.99401470098136,2.49375605849549,0.108289591233524,0.0884803350636381,0.110657682850275,0.0786341743490555,0.0112002497258628,0.0197567640067488,0.464522037409602,0.0923077151227903,0.122037833192048,0.0212025823926354,0.00421546480674853,0.00561603390386051
"8",0.77319178163899,0.845470162735788,0.752449774280419,2.29618915444051,1.89184999014341,2.34376320970565,0.104027449497461,0.0856141686170885,0.106065428944021,0.0775587589876308,0.0131708919642002,0.0216706754202816,0.448448644742649,0.0881765930602054,0.115470163500151,0.0210000656187233,0.00413604903577531,0.00540333480576917
"9",0.822769556919384,0.881549071742124,0.803969190989357,2.04577285030197,1.67390828854999,2.10818997658051,0.100129046546841,0.0817918475400264,0.103012991046439,0.0588577363411828,0.010110135343745,0.0199198068471146,0.378159733741558,0.0778383337432521,0.111021456104002,0.0194976472698967,0.00400759077229001,0.00567354548507395
"10",0.904296332406467,0.939853169181007,0.894689937225499,1.80672969084935,1.43794491256438,1.86267970380959,0.104938557173283,0.0835633316876106,0.10824802901002,0.0193906891201175,0.00231179336605579,0.00609196784607618,0.273815072847693,0.0371288468618585,0.0643589989090092,0.0152374065781528,0.00226468616180227,0.00391364845131033
"11",0.916834374720139,0.940880892760917,0.907216872260723,1.46448960595843,1.21921496946729,1.50707616442393,0.120442608724334,0.100382445579498,0.124088029501601,0.0246299505054192,0.00454180803790476,0.00666305520011499,0.227664648267902,0.0479828885000434,0.0534398815595852,0.0170659546992893,0.00365027350516522,0.00417140586488125
"12",0.878567726984253,0.915536585728302,0.867730010696674,1.79818088613734,1.48612076240145,1.8338938147281,0.207799560825775,0.171600471718861,0.211746338769868,0.0354526514526033,0.00918558022775774,0.0128630476993474,0.289415984314598,0.0686345179586781,0.0793576529102018,0.0344668789491341,0.00952107814353604,0.0109511863155309
