"","test_R2","train_R2","oob_R2","test_rmse","train_rmse","oob_rmse","test_nrmse","train_nrmse","oob_nrmse"
"1",0.673472012262608,0.776089716813731,0.624217185352692,0.0962735530204524,0.073582467498428,0.0925810008509752,0.491815665711361,0.317650604735852,0.399666006144615
"2",0.669206879247897,0.788355744345392,0.640787331564985,0.0946203309334013,0.0667843525975436,0.0843139590061161,0.459911437217461,0.280294827921976,0.353866822269818
"3",0.61707440076267,0.737007519745956,0.545272902471876,0.10067102379304,0.0758060749024924,0.0953500022941599,0.385282849658019,0.25571208062786,0.321638437366307
"4",0.536056499263511,0.666274314354705,0.398908067849552,0.110762724553004,0.0756845375591473,0.0954425684150274,0.389489134275622,0.240265845784609,0.302989093461409
"5",0.503809711836294,0.716712203844809,0.519770161537295,0.132555688163451,0.0887762471814581,0.111521979234341,0.378401192216356,0.228091289613585,0.286531508949989
"6",0.498089709315751,0.659092104437874,0.379106532275229,0.132897161381101,0.0968383918848805,0.122443638082208,0.428629497721862,0.271083984156772,0.342761879869229
"7",0.590865667460608,0.611129334786104,0.24590204795828,0.140959455231106,0.1146035043061,0.145730751548451,0.515220040053517,0.354427171150931,0.450692483914451
"8",0.609350078440709,0.656250727825376,0.381704085883744,0.135332490877517,0.111611574586616,0.141226445091896,0.496206377919968,0.350526894917981,0.443535246785269
"9",0.559897410672744,0.654760047442129,0.341224834814917,0.144555850042006,0.111922705238907,0.142046480362325,0.454449946801986,0.293507242110636,0.372504136794003
"10",0.696397815433693,0.760108428186723,0.596934744667514,0.121534947780836,0.0867764399626791,0.10853913605937,0.333064260106822,0.21141641973749,0.26443762335654
"11",0.535046276418346,0.709950096584366,0.482866832300003,0.122248465800133,0.0765297835588333,0.0968000216447416,0.363110118509403,0.202852761527304,0.256581827275691
"12",0.668023136794732,0.759622996599427,0.597592534993573,0.100518764889809,0.0752032640833602,0.0943175312251357,0.476828332716254,0.292900629602574,0.367346612080302
