"","test_R2","train_R2","oob_R2","test_rmse","train_rmse","oob_rmse","test_nrmse","train_nrmse","oob_nrmse"
"1",0.525685171079224,0.747680615515593,0.616639436377095,0.123311627561955,0.0789912872866249,0.0955245607591005,0.399280333073863,0.291842090290737,0.352926106709503
"2",0.600433283959657,0.753596493380204,0.617007256397387,0.094991500352025,0.0738507853018854,0.090169049445508,0.30304563351639,0.26122472384566,0.318945627247475
"3",0.5516835756977,0.693447967606581,0.488442263720078,0.0995678491934156,0.0780355337705516,0.0971817128427653,0.276350126579474,0.2387816937509,0.297367274534696
"4",0.56986924571318,0.747822184237904,0.564577366949857,0.0815820768316498,0.0645928728491878,0.0801731788988826,0.232381665004345,0.192326521108402,0.238717181999709
"5",0.700208050154387,0.765649446606592,0.616152086187742,0.0800331285902969,0.0792958052307423,0.0979753306845071,0.185652297523925,0.190102365202489,0.234884330141084
"6",0.347858853181556,0.618702679064891,0.352590531578498,0.115820114383856,0.0767700179976394,0.0953974602628079,0.270093712694264,0.190554138024213,0.236790107443214
"7",0.271600623517059,0.460285108018612,0.0484583150397395,0.117715961233945,0.103282460072215,0.127553072145182,0.30413109613934,0.273014433745078,0.33717080073241
"8",0.437053986267722,0.657988202014866,0.424825107710967,0.123944751263314,0.0815665565576957,0.101082790314272,0.321591075131639,0.21403542413277,0.265247165143417
"9",0.227921245694145,0.536546741536804,0.167817812270838,0.113274214447001,0.094865156677596,0.118178650813957,0.261385555392755,0.21968150339294,0.273669117186949
"10",0.634841680360043,0.773950277737345,0.639935688121496,0.093927901088183,0.0813957931468326,0.0995783499620898,0.1983985636739,0.18029635051325,0.2205717567726
"11",0.36232797606571,0.66340178445584,0.454230345779486,0.101011286386075,0.0770063929003127,0.0949933752523397,0.229516154918448,0.18628530012219,0.229797407098523
"12",0.624335171254987,0.728549181721134,0.578410590774761,0.0962803678031977,0.0825575310835454,0.100699622728395,0.286033998754143,0.281829744667762,0.3437620843211
