"Site","Jan_max","Feb_max","Mar_max","Apr_max","May_max","Jun_max","Jul_max","Aug_max","Sep_max","Oct_max","Nov_max","Dec_max"
"lg31",2.625,2.575,2.7,3.55,10.5,14.525,17.625,18.15,17.3,12.725,7.05,3.25
"lg32",6.575,6.8,7.825,10.025,14.7,18.775,21.65,21.875,19.5,13.525,9.975,7.175
"lg33",5.95,5.925,7.525,9.675,10.925,11.575,12.575,13.675,13.6,8.9,7.35,7
"lg34",10.5,12.925,14.85,17.425,20.625,22.575,24.85,23.95,23.15,21.275,15.1,10.7
"lg35",3.875,5.2,7.35,12.075,19.7,24.25,27.85,26.075,24.675,19.425,10.35,5.125
"lg36",7.8,9.225,12.35,14.675,19.525,23.65,26.075,25.125,23.025,17.125,12.05,8.35
"lg37",10.8,10.65,11.25,11,11.825,12.225,12.7,13.425,12.85,13.325,12.7,11.725
"lg38",2.175,2.475,4.45,9.7,16.525,20.15,22.275,21.725,19.275,17.025,8.65,3.475
"lg39",20.9,22.05,22.45,22.95,23.725,24.675,24.975,25.2,24.55,23.675,22.45,21.875
"lg40",6.5,7,8.4,10,11.275,13.95,17.35,17.975,18.7,17.475,13.2,9.275
"lg41",3.9,5.375,7.1,8.175,11.85,15.025,16.675,18.775,20.25,20.25,14.35,7.475
"lg42",10.875,9.55,10.225,10.7,11.15,11.575,11.725,12.125,12.6,12.575,13.3,12.75
"lg43",3.15,4.675,8.075,14.325,21.15,25.45,28.075,26,24.45,19.35,10.45,5.525
"lg44",4.9,6.325,9.875,14,21.3,24.225,26.05,25.325,23.7,20.725,12.75,6.65
"lg45",5.45,5.75,7.625,10.35,12.95,17.25,20.475,20.525,19.2,13.75,9.175,5.775
"lg46",11.875,12.3,15.125,15.525,15.225,18.4,21.25,21.5,21.325,17.5,13.775,11.775
"lg47",3.225,4.025,5.95,11.6,18.575,20.625,21.9,19.85,17.85,14.425,6.525,4.65
"lg48",4.875,6.675,10.225,13.375,15.825,18.25,20.45,19.65,18,14.35,10.025,5.85
"lg49",10.175,9.975,12.225,15.475,21.1,20.85,22.775,24.925,25.775,24.775,19.9,13.775
"lg50",14.575,16.875,19.05,21.4,26.375,28.125,29.35,28.85,27.425,22.975,19.4,14.35
"lg51",7.05,7.5,8.4,10.45,13.275,16.275,17.85,17.9,15.325,12.05,9.775,7.425
"lg52",2.63333333333333,2.76666666666667,4.075,5.425,10.15,13.975,17.3,17.275,16.1,10.9,6.5,3.175
"lg53",12.1,11.925,12.6,14.925,16.475,17.5,18.7,18.25,17.525,16.525,14.65,13.25
"lg54",5.95,7.05,8.95,11.875,15.625,19.8,21.9,23.15,22.825,22.05,13.625,6.725
"lg55",6.825,6.875,8.475,10.875,12.45,13.3,14.4,15.3,15,10.425,8.2,7.3
"lg56",0.025,0.025,3.475,11.45,13.925,17.275,19.725,20.2,17.3,10.8,4.275,0.25
"lg57",1.95,3.15,5.075,6.8,9.175,14.825,20.275,21.025,17.725,10.925,6.25,2.55
"lg58",21.8,24.6,25.825,27.6,30.075,31.55,31.9,31.225,30.975,28.925,25.875,23.35
"lg59",18.725,20.3,23.55,24.75,27.875,29.225,29.975,30.025,29.4,27.25,23.225,20.475
"lg60",12.575,13.375,14.625,18.45,21.425,23.9,24.1,23.55,22.475,18.2,15.1,12.575
"lg61",7.05,7.55,8.7,10.725,12.35,14.725,17.4,17.625,17.675,16.525,12.625,8.45
"lg62",6.5,7.65,10.55,14.05,18.95,23.175,26.4,25.725,24.6,22.325,13.725,7.475
"lg63",7.75,7.825,9,12.225,17.525,21.3,23.6,23.675,20.45,14,10.35,7.45
"lg64",2.4,2.9,5.925,11.275,19,21.475,23.425,21.525,19.15,14.45,6.8,3.8
"lg65",5.525,7.05,9.4,14.85,21.825,24.35,27.225,26.025,23.45,21,12.2,6.05
"lg66",6.95,9.75,12.525,16.625,21.925,25.875,28.4,26.85,24.95,21.775,13.5,7.5
"lg67",2.05,2.15,4.6,9.975,16.725,20.3,22.425,22.125,19.675,16.65,9.2,3.725
"lg68",17.225,19.8,21.9,24.3,28.3,29.575,30.6,30.125,29.125,26.225,21.725,18.925
"lg69",14.05,16.6,18.775,21.725,27.125,28.525,30.175,29.05,27.725,23.525,19.45,13.875
"lg70",12.9,14.25,14.875,17.175,21.325,22.075,24.85,24.15,22.475,20.75,16.225,13.575
"lg71",7.075,10.175,13.2,17.425,23.025,26.9,29.85,28.15,25.725,22.6,13.775,6.825
"lg72",4.2,5.825,8.475,13.8,20.875,24.55,27.525,25.875,24.475,20.075,10.675,4.8
"lg73",2.525,3.2,5.825,11.2,18.75,21.775,23.325,21.25,19,14.6,6.825,4.1
"lg74",20.925,22.225,22.575,23.35,24.25,25.125,25.35,25.475,24.775,23.825,22.425,21.85
"lg75",0.15,0.075,1.8,12.175,21.075,25.4,27.675,25.9,20.35,12.9,3.725,0.175
"lg76",4.1,4.075,6.45,9.925,17.775,20.95,22.625,21.225,19.275,17.05,10.85,5.2
"lg77",3.4,5.5,9.85,15.425,20.225,23.225,24.05,23.675,20.575,12.375,7.9,3.275
"lg78",6.55,7.55,9.275,12.025,15.25,19.575,23.525,23.225,21.925,15.5,10.45,6.6
"lg79",1.875,2.25,5.025,10.9,18.825,22,24,22.475,20.1,15.7,7.15,3.3
"lg80",4.275,4.975,7.225,12.375,20.1,23.8,25.9,24.45,22.6,18.625,10.225,4.95
"lg81",10.625,10.55,12.2,15,17.9,18.725,19.35,20.55,20.5,20.775,17.9,14.175
"lg82",1.225,5.275,12.45,17.25,19.875,22.05,26.275,24.9,22,14.7,9.75,4.2
"lg83",3.6,3.35,3.05,4.075,7.375,11.725,15.275,16.125,14.625,11.675,7.95,4.725
"lg84",6,8.2,10.525,14.825,21.425,24.75,27,26.45,25.45,21.8,13.6,7.2
"lg86",6.45,7.725,9.875,13.425,16.725,21.1,24.65,24.35,22.9,15.45,10.6,6.675
"lg87",0,2.225,10.825,15.25,19.4,23.4,26.4,25.15,22.025,14.725,8.575,1.725
"lg88",20.375,21.7,24.65,25.95,29.025,30.325,31.275,31.3,30.525,28.5,24.9,22.075
"lg89",1.125,1.175,3.25,9.425,18.025,22.5,25.55,24.95,22.875,18.875,10.275,3.25
"lg91",3.525,4.15,6.35,11,19.075,23.15,25.6,23.55,20.975,17.375,10.675,4.95
"lg92",12.625,13.25,13.55,15.8,19.35,22.2,24.65,25.25,23.25,19.95,14.825,12.225
"lg93",7.575,9,11.975,16.775,23.175,26.35,27.925,26.85,26.2,22.8,14.325,9.625
"lg94",10.2,10.4333333333333,11.1333333333333,13.2666666666667,14.25,15.85,17.6,18,18.05,17.475,15.7,12.975
