"","test_R2","train_R2","oob_R2","test_rmse","train_rmse","oob_rmse","test_nrmse","train_nrmse","oob_nrmse"
"1",0.626876941830106,0.799269879679208,0.692004013832913,0.0895342251026954,0.0609881566748045,0.0734229301455458,0.323027788568267,0.280338649871558,0.337496429288203
"2",0.627330020787725,0.741826979001561,0.611763288434038,0.0903685261268566,0.0720725637375734,0.0857782407341414,0.336256509366341,0.311416454240788,0.370636955245605
"3",0.520446031829645,0.7049008872255,0.554269318668958,0.0917594414520584,0.0803341695112925,0.0953561801297381,0.248617986518678,0.265068828063729,0.314635118149451
"4",0.227525414436315,0.581198608904832,0.311564961027405,0.0935104447682591,0.0836903032517109,0.0987817979437259,0.227422351672473,0.226492947856929,0.267335398983928
"5",0.00550090081046304,0.426256455610202,0.0291364384450405,0.122517998446887,0.111387810692301,0.129573880300426,0.267787496985996,0.2631538913779,0.30611851162228
"6",0.0706315393175514,0.498733789454038,0.216733283133324,0.129459543900884,0.128165781568679,0.149386271019593,0.284356440324099,0.321226101498895,0.374411710128473
"7",0.0606329825214992,0.460530756310934,0.155163961025364,0.161787318435009,0.13735495989738,0.16165411245523,0.401017326115306,0.426946840822166,0.502477032283621
"8",0.0381314781995551,0.466032517319748,0.176307616560505,0.152199371942677,0.160926219776822,0.187592047849087,0.332545060209042,0.425283256266709,0.495753625914045
"9",0.0109749185301203,0.532326622949686,0.24434955034734,0.142399665694536,0.126728608766871,0.149968724971501,0.303066845790974,0.320270802270512,0.379003638795285
"10",0.0109819949560879,0.484387980074324,0.223814995515181,0.130270231813619,0.117548794520948,0.135350226034555,0.244992586376236,0.241891268077646,0.278522956730621
"11",0.278932282640166,0.553110613605336,0.289726449284352,0.0901685119357585,0.0756270601011005,0.0898192759900089,0.194598150323391,0.171331674985179,0.203483871788114
"12",0.662883086626425,0.782482045687994,0.656618382812385,0.0829108212113382,0.0668116755224064,0.0812089140276279,0.254463435955752,0.246738938845206,0.29990867786617
